Morion ID,ATC Code (1),ATC Code (2),ATC Code (3),ATC Code (4),ATC Code (5),Brand,INN,NFC (1),Description,strength_value,strength_unit,pack_size,form_category,market_level,market_name,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023
76892,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,"J01F MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F A Macrolides,J01F A10 Azithromycin,9268,AZITHROMYCINUM,Oral Solid Ordinary," tablets coated 500 mg, #3",500.0,mg,3.0,Oral solid,No sampled peer,No sampled peer,4120.8,3198.3699999999994,0.98,0.0,0.0
298392,C CARDIOVASCULAR SYSTEM,C07 BETA BLOCKING AGENTS,C07A BETA-BLOCKING AGENTS,"C07A B Beta blocking agents, selective",C07A B07 Bisoprolol,18260,BISOPROLOLUM,Oral Solid Ordinary," tabs coated w/film 10 mg blister, #30",10.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,1623.39,184.04,18.93,0.0,0.0
56265,C CARDIOVASCULAR SYSTEM,C08 CALCIUM CHANNEL BLOCKERS,C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,48957,AMLODIPINUM,Oral Solid Ordinary," tabs 5 mg, #30",5.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,11461.75,34464.049999999996,42144.67,54756.17000000001,580.53
38415,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J02 ANTIMYCOTICS FOR SYSTEMIC USE,J02A ANTIMYCOTICS FOR SYSTEMIC USE,J02A C Triazole and tetrazole derivatives,J02A C01 Fluconazole,14470,FLUCONAZOLUM,Oral Solid Ordinary," caps. 150 mg blister, #1",150.0,mg,1.0,Oral solid,No sampled peer,No sampled peer,3363.4599999999996,2478.13,989.6199999999998,0.0,0.0
140829,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,31664,ATORVASTATINUM,Oral Solid Ordinary," tabs coated w/film 10 mg, #30",10.0,mg,30.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,2668.1499999999996,135.62,0.0,0.0,0.0
438526,M MUSCULO-SCELETAL SYSTEM,M02 TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"M02A A Antiinflammatory preparations, non-steroids for topical use",M02A A15 Diclofenac,6933,DICLOFENACUM,"Topical Dermatological, Haemorrhoidal, External"," cutan. spray, sol. 4 % flask with dosing device 25 g, with protect cap, #1",25.0,g,1.0,Topical,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",7431.149999999999,13581.86,13866.880000000001,6983.87,9126.300000000001
93463,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A E Propionic acid derivatives,M01A E01 Ibuprofen,44989,IBUPROFENUM,Oral Solid Retard," caps. w/ prolong. action 300 mg blister, #20",300.0,mg,20.0,Oral solid,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",3635.12,2170.7,1126.41,332.67,0.0
438104,A ALIMENTARY TRACT AND METABOLISM,A10 DRUGS USED IN DIABETS,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B A Biguanides,A10B A02 Metformin,39461,METFORMINUM,Oral Solid Ordinary," tabs coated w/film 500 mg blister, #30",500.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,6850.64,8976.75,13131.34,13495.650000000001,9191.11
56263,C CARDIOVASCULAR SYSTEM,C08 CALCIUM CHANNEL BLOCKERS,C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,48957,AMLODIPINUM,Oral Solid Ordinary," tabs 10 mg, #30",10.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,12326.76,28176.67,26281.5,386.53,0.0
166137,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B E Anilides,N02B E01 Paracetamol,30510,PARACETAMOLUM,Parenteral Ordinary, sol. f/infus. 10 mg/ml bot. 20 ml,10.0,mg,,Parenteral,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,6242.139999999999,3577.0399999999995,3799.32,1928.8000000000004,1388.5300000000002
49223,A ALIMENTARY TRACT AND METABOLISM,A10 DRUGS USED IN DIABETS,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B A Biguanides,A10B A02 Metformin,5396,METFORMINUM,Oral Solid Ordinary," tabs coated w/film 500 mg, #120",500.0,mg,120.0,Oral solid,No sampled peer,No sampled peer,2867.39,2831.0499999999993,20.13,10.129999999999999,0.0
336407,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,49204,SILDENAFILUM,Oral Solid Ordinary," tabs coated w/film 100 mg blister, #1",100.0,mg,1.0,Oral solid,No sampled peer,No sampled peer,4372.59,2857.09,567.27,1431.4699999999998,831.9200000000001
184823,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,40034,ROSUVASTATINUM,Oral Solid Ordinary," tabs coated w/film 10 mg blister, #30",10.0,mg,30.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,5363.73,0.0,0.0,0.0,0.0
305988,C CARDIOVASCULAR SYSTEM,C07 BETA BLOCKING AGENTS,C07A BETA-BLOCKING AGENTS,"C07A B Beta blocking agents, selective",C07A B07 Bisoprolol,18260,BISOPROLOLUM,Oral Solid Ordinary," tabs coated w/film 2,5 mg blister, #30",2.5,mg,30.0,Oral solid,No sampled peer,No sampled peer,21389.68,35091.48,38370.79,48783.14,120790.45000000003
