month,INN,forecast,lower80,upper80,selected_model
2024-08,METFORMINUM,416052.02225343836,271090.46927664976,546718.1658610435,Damped ETS
2024-08,PANTOPRAZOLUM,269922.6216705196,175875.6005227134,354695.1790749942,Damped ETS
2024-08,PARACETAMOLUM,985114.9780584526,641880.01904255,1294501.7604496684,Damped ETS
2024-08,PREGABALINUM,270559.01753916865,176290.26279373682,355531.44224304176,Damped ETS
2024-08,ROSUVASTATINUM,263570.62630956864,171736.77286581518,346348.2679373632,Damped ETS
2024-08,SILDENAFILUM,161501.38042914565,105230.58169860329,212223.02431921204,Damped ETS
2024-09,ACETYLCYSTEINUM,173300.46099749889,111710.98094239493,201674.25358559465,Damped ETS
2024-09,ACIDUM ACETYLSALICYLICUM*,2693683.445897304,1736376.8917550389,3134707.1010110527,Damped ETS
2024-09,AMBROXOLUM,276294.73191298754,178102.19290022695,321531.267976514,Damped ETS
2024-09,AMLODIPINUM,264608.0764560656,170568.8494178956,307931.21412078664,Damped ETS
2024-09,ATORVASTATINUM,93642.99385134318,60362.923052223865,108974.8626270904,Damped ETS
2024-09,AZITHROMYCINUM,368354.38622279244,237444.83368713214,428663.39497110475,Damped ETS
2024-09,BISOPROLOLUM,632582.6447470884,407769.2037807829,736152.4417203215,Damped ETS
2024-09,CEFTRIAXONUM,111862.16748701132,72107.19783363106,130176.97161073245,Damped ETS
2024-09,CITICOLINUM,53704.789892128785,34618.32832183303,62497.773715854906,Damped ETS
2024-09,DICLOFENACUM,833890.1961766739,537534.2110659004,970419.0846532542,Damped ETS
2024-09,FLUCONAZOLUM,323608.4538432074,208601.12563951183,376591.43200186605,Damped ETS
2024-09,IBUPROFENUM,1296419.021168682,835685.2536792177,1508675.4705717575,Damped ETS
2024-09,LEVOFLOXACINUM,45793.656836814116,29518.72708349833,53291.389904105126,Damped ETS
2024-09,MELOXICAMUM,191245.4346477729,123278.50347159116,222557.26917400945,Damped ETS
2024-09,METFORMINUM,418359.05923430657,269678.38236202503,486855.08621257305,Damped ETS
2024-09,PANTOPRAZOLUM,282080.8115047282,181831.96187830315,328264.67381287704,Damped ETS
2024-09,PARACETAMOLUM,1254147.8891830868,808436.8285152987,1459483.4948464753,Damped ETS
2024-09,PREGABALINUM,269264.8596056069,173570.66179420304,313350.42938401207,Damped ETS
2024-09,ROSUVASTATINUM,270380.228088749,174289.64028414377,314648.4116421206,Damped ETS
2024-09,SILDENAFILUM,160548.99730287236,103491.25064674369,186835.0556965565,Damped ETS
2024-10,ACETYLCYSTEINUM,253545.90911440484,165277.49906140496,276533.61590620823,Damped ETS
2024-10,ACIDUM ACETYLSALICYLICUM*,1866774.4661679973,1216885.6432273623,2036024.7528793965,Damped ETS
2024-10,AMBROXOLUM,450027.07600352884,293356.8058480438,490828.6519145992,Damped ETS
2024-10,AMLODIPINUM,320789.78014737245,209111.4630179239,349874.11969344964,Damped ETS
2024-10,ATORVASTATINUM,103571.42230163298,67514.29554021815,112961.76542946998,Damped ETS
2024-10,AZITHROMYCINUM,446220.89393893623,290875.6868275532,486677.3842104192,Damped ETS
2024-10,BISOPROLOLUM,710087.2559991886,462881.08190982364,774467.061228236,Damped ETS
2024-10,CEFTRIAXONUM,257829.03988175976,168069.524517305,281205.07463455026,Damped ETS
2024-10,CITICOLINUM,65358.909883958004,42604.87455844296,71284.73421997145,Damped ETS
2024-10,DICLOFENACUM,879772.924350193,573493.3259132826,959537.1978989234,Damped ETS
2024-10,FLUCONAZOLUM,346151.7339571361,225644.04735738033,377535.50266952586,Damped ETS
2024-10,IBUPROFENUM,1318525.3796391902,859500.9428980793,1438068.9304490627,Damped ETS
2024-10,LEVOFLOXACINUM,79007.03187966504,51501.615308848144,86170.2565365576,Damped ETS
2024-10,MELOXICAMUM,211430.1987086057,137823.7177193715,230599.50516763199,Damped ETS
2024-10,METFORMINUM,483084.8953067616,314906.05989245453,526883.6422737655,Damped ETS
2024-10,PANTOPRAZOLUM,318162.4807774449,207398.81703078363,347008.6175081885,Damped ETS
2024-10,PARACETAMOLUM,1370104.798822145,893123.7901053037,1494324.772503077,Damped ETS
2024-10,PREGABALINUM,276802.03368622554,180437.3658357272,301898.245664063,Damped ETS
2024-10,ROSUVASTATINUM,288744.2665381367,188222.09619627407,314923.2152300526,Damped ETS
2024-10,SILDENAFILUM,173047.85037381868,112803.58655159952,188737.23995047132,Damped ETS
2024-11,ACETYLCYSTEINUM,235713.02529721984,153385.25316426487,261024.5260776068,Damped ETS
2024-11,ACIDUM ACETYLSALICYLICUM*,1688503.4985300435,1098760.0014039502,1869818.8991657905,Damped ETS
2024-11,AMBROXOLUM,404838.6111792497,263440.3926492617,448311.1967471816,Damped ETS
2024-11,AMLODIPINUM,350341.5001209383,227977.47243070064,387962.0636577589,Damped ETS
2024-11,ATORVASTATINUM,115680.80103839205,75276.65052673,128102.97232653535,Damped ETS
2024-11,AZITHROMYCINUM,427123.10517073807,277941.5876150937,472988.6496911334,Damped ETS
2024-11,BISOPROLOLUM,744304.3522170665,484341.02862018195,824229.5305331774,Damped ETS
2024-11,CEFTRIAXONUM,275998.5594341478,179600.26998472287,305636.0112370054,Damped ETS
2024-11,CITICOLINUM,80767.23911459552,52557.338676885454,89440.31380670071,Damped ETS
2024-11,DICLOFENACUM,839497.5702902445,546286.137862121,929644.8098965498,Damped ETS
2024-11,FLUCONAZOLUM,334626.60944297194,217751.31725414773,370559.6727677985,Damped ETS
2024-11,IBUPROFENUM,1302726.6815367816,847723.346111081,1442616.5022051602,Damped ETS
2024-11,LEVOFLOXACINUM,88153.796012679,57363.99489919992,97620.05575371986,Damped ETS
2024-11,MELOXICAMUM,228216.83296793484,148507.25384734734,252723.37580085406,Damped ETS
2024-11,METFORMINUM,512295.2769159892,333365.69859616127,567306.8002930891,Damped ETS
2024-11,PANTOPRAZOLUM,341591.4917953797,222283.5770822114,378272.4598105447,Damped ETS
2024-11,PARACETAMOLUM,1245738.3365288812,810639.3045324257,1379508.6208764084,Damped ETS
2024-11,PREGABALINUM,281291.06652169477,183044.2645920888,311496.8396075466,Damped ETS
2024-11,ROSUVASTATINUM,305412.5612333066,198740.85154685492,338208.5545296324,Damped ETS
