SKU,INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
606056,OMEPRAZOLUM,0.36666666666666664,3110.393666666666,1.2499916514602571,1.5789473684210527,0.6229034481895491,22,0,0,0.04895500659945751,0.7304236391014016,0.017734208650850646,Lumpy / volatile
516849,ROSUVASTATINUM,0.6666666666666666,2.2925,2.326480773409548,3.0,1.1375042630147647,22,0,18,0.11078019700308095,0.03914296823488861,-0.1120203541498728,Lumpy / volatile
625885,VENLAFAXINUM,0.36666666666666664,336.2713333333333,1.3667275530422391,1.5789473684210527,0.8163646626883903,22,0,0,0.10202650013522829,0.7438273079430759,0.8788583920061747,Lumpy / volatile
697011,MEROPENEMUM,0.48333333333333334,7.499333333333331,2.661837995643522,1.935483870967742,3.177447116109949,22,0,7,0.15531539162001062,0.007730669283624092,0.0065733005508236625,Lumpy / volatile
421321,RABEPRAZOLUM,0.36666666666666664,691.938333333333,2.0510894347644504,1.5789473684210527,2.2977463172881545,22,0,0,0.07666720640436753,0.5403414015049757,-0.15973192978987918,Lumpy / volatile
284993,AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,0.36666666666666664,495.5900000000001,1.117076800157613,1.5789473684210527,0.4236450323852359,22,0,0,0.08895610695487388,0.717805669693834,0.3993983319765951,Intermittent
701710,CEFUROXIMUM,0.36666666666666664,138.02983333333336,1.1711528425069397,1.5789473684210527,0.502012687657654,22,0,0,0.06247561823894565,0.697699525207536,-0.06074830519237321,Lumpy / volatile
647276,VALSARTANUM,0.36666666666666664,973.3996666666669,1.0039212081481408,1.5789473684210527,0.2716432683740945,22,0,0,0.08703703387809347,0.807991834248315,0.6671249452714433,Intermittent
639187,VITAMIN C+PARACETAMOLUM+PHENIRAMINUM+PHENYLEPHRINUM,0.36666666666666664,46.47033333333334,1.2826126611946553,1.5789473684210527,0.6752269844826627,22,0,0,0.12720500726954576,0.7820641025828068,0.16031755417853186,Lumpy / volatile
625192,CITICOLINUM,0.36666666666666664,119.62583333333333,0.9892464756404858,1.5789473684210527,0.2531187733925106,22,0,0,0.043611452498044434,0.6317153777229045,0.08627458613299104,Intermittent
647274,VALSARTANUM,0.36666666666666664,837.4536666666665,0.9764034023530558,1.5789473684210527,0.2371302826135282,22,0,0,0.08846500396190349,0.8191159278345258,0.8922488653832683,Intermittent
625879,VENLAFAXINUM,0.36666666666666664,698.6521666666665,1.105293593767744,1.5789473684210527,0.40706015466854245,22,0,0,0.06634065756761798,0.8234246035009436,0.669914284540609,Intermittent
639815,IBUPROFENUM,0.36666666666666664,199.27316666666673,1.1535771793097265,1.5789473684210527,0.476135528795317,22,0,0,0.08395507902006183,0.6871530091401852,0.28870166843193057,Intermittent
597185,CEFTAZIDIMUM,0.65,19.781999999999996,2.2859034416836224,2.857142857142857,1.1788740906453594,22,0,17,0.07068207771747526,0.35786985136347704,-0.05583604923686593,Lumpy / volatile
691077,MOXIFLOXACINUM,0.36666666666666664,2120.2416666666672,1.5797263677288682,1.5789473684210527,1.2138390847019667,22,0,0,0.07563175122126464,0.6087709205186189,-0.023695718842964824,Lumpy / volatile
111918,ANETHOLUM*+DICHLOROBENZYL ALCOHOL*+MENTHA PIPERITA+MENTHOLUM*,0.36666666666666664,627.5138333333335,1.0186507246576275,1.5789473684210527,0.2905112226021564,22,0,0,0.08143884465817075,0.7612414944237172,0.5567647476037377,Intermittent
602785,DIMETHYLIS SULFOXIDUM,0.36666666666666664,1687.4021666666667,0.9397934566094699,1.5789473684210527,0.19270076935445118,22,0,0,0.0414578203835092,0.7485326599447368,0.49778564745006915,Intermittent
624904,NIMESULIDUM,0.36666666666666664,841.2893333333334,0.8670952935107079,1.5789473684210527,0.10950769041799993,22,0,0,0.06338277913824009,0.7009627593375973,0.42529854083820745,Intermittent
138481,LEVOCETIRIZINUM,0.36666666666666664,493.9768333333332,0.9976268739656662,1.5789473684210527,0.26366427378372087,22,0,0,0.03480935013382269,0.647477560949008,-0.03998483266074608,Intermittent
586418,FOLIC ACID,0.36666666666666664,9862.323000000002,0.8709790294985668,1.5789473684210527,0.11378283088996809,22,0,0,0.05458002596377276,0.7568178471178058,0.5927689759073786,Intermittent
326996,MOXIFLOXACINUM,0.36666666666666664,1099.7695,1.812377745007777,1.5789473684210527,1.713651624046333,22,0,0,0.03722298827951853,0.3850368453337857,0.003667276515984002,Lumpy / volatile
711033,NATRII CHLORIDUM*,0.4,5217.098499999998,1.8189110269408721,1.6666666666666667,1.5850623943562583,22,0,2,0.06783664825252589,0.6532985560829452,-0.039124013370268274,Lumpy / volatile
598784,ABIRATERONE,0.43333333333333335,3.858,1.9565257541577588,1.7647058823529411,1.7358627151201325,23,1,2,0.1815154597263925,0.4984176366484119,0.09711432178790956,Lumpy / volatile
519748,UNKNOWN_SKU_519748,0.8333333333333334,0.043000000000000003,2.308971693076881,6.0,0.05522504657172044,23,27,0,0.047624986031839955,0.0005446871514270812,-0.2459976052153087,Potential discontinued
