INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,share_change_12m,opportunity_probability,predicted_share_change_6m,action,supply_watch,reason
MEPIVACAINUM,True,25.1,28.133033050639572,0.0,59.7775786432492,0.1208379701450028,2.352628338295454e-06,0.0490573243929733,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_814661,False,25.08,110.62339368244731,0.0,142.2427244976923,3.410821119714805,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_814747,False,24.31,213.6711453801057,61.3686417505763,244.3197072668125,7.789434199099372,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_9805,False,23.56,17.595022004671012,0.0,47.298029740204186,-0.2531824276455428,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_443910,False,23.25,48.62940942321844,0.0,77.94158810959986,1.0915875020739114,,,,Data Review,False,补齐INN后再形成分子级商业建议
AZACITIDINUM,True,22.97,87.00056560157218,0.0,115.9597374048488,2.7875736004167253,0.0007895470433577,0.2983862510112932,0.0,Monitor,True,常规跟踪销量与生命周期信号
SORAFENIBUM,True,22.85,23.274957475940106,0.0,52.08284061502894,0.0185977013540528,0.0398918693060802,0.4470099044871317,0.0,Emerging Opportunity,False,机会概率位于前20%，份额上升且规模尚未进入前25%，先验证增长驱动
MIDAZOLAMUM,True,22.69,29.623079811990976,0.0,58.22924473216278,0.3055566245919336,1.025854985805628e-06,0.0552792933035657,0.0,Monitor,True,常规跟踪销量与生命周期信号
UNKNOWN_SKU_92162,False,21.16,31.717923298751263,0.0,58.39515775052894,0.4989566776347478,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_95895,False,21.06,30.501103844796507,0.0,57.05226440975103,0.4482955291926167,,,,Data Review,False,补齐INN后再形成分子级商业建议
QUINAPRILUM,True,20.57,22.654188508282985,0.0,48.5875870278041,0.101321755385658,-0.0001306421979838,0.0353096197747046,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_177338,False,20.12,3714.1280706439193,3706.214201867792,3719.6340623132,183.59881066818687,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_378920,False,19.84,47.9835721725615,0.0,72.99663131827364,1.4185268232137855,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_421652,False,19.65,27.154068859310257,0.0,51.927587620058425,0.3818864559445425,,,,Data Review,False,补齐INN后再形成分子级商业建议
UPADACITINIBUM,True,19.59,9.426697770261857,0.0,34.12457219891614,-0.5188005221918399,0.0004153830012749,0.0402335849333547,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
UNKNOWN_SKU_112638,False,19.48,0.0,0.0,5.330850781191732,-1.0,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_421650,False,19.19,48.564863596780725,0.0,72.75844247814243,1.5307380717446968,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_97107,False,19.01,186.7311007764185,67.63317424423606,210.6977466614985,8.822782786765833,,,,Data Review,False,补齐INN后再形成分子级商业建议
ALECTINIBUM,True,18.920000000000005,4.969977384192226,0.0,28.82315677113144,-0.7373162059095019,-0.0381168138218341,0.3087136973723983,0.0,At Risk,False,同类份额与预测销量同时下降，核查原因
UNKNOWN_SKU_647302,False,18.2,46.45795500385493,0.0,69.40340240566749,1.5526348903216998,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_163831,False,16.92,23.184239176591102,0.0,44.5159408270674,0.3702269016897812,,,,Data Review,False,补齐INN后再形成分子级商业建议
ALLANTOINUM*+DEXPANTHENOLUM,True,16.490000000000002,98.08561083238492,0.0,118.8751947695217,4.948187436772888,-5.57145124520499e-06,0.0415844710390925,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_814675,False,16.490000000000002,49.65709871507553,0.0,70.44668265221229,2.011346192545514,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_294525,False,15.36,183.18765271268907,86.95702927584942,202.55260172872428,10.926279473482362,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_810214,False,15.24,36.946907448016646,0.0,56.16056779986408,1.4243377590562103,,,,Data Review,True,补齐INN后再形成分子级商业建议
ACIDUM PAMIDRONICUM,True,14.81,5.382261701833307,0.0,24.053804340341216,-0.6365792233738483,-0.0024518618301346,0.0631215157377651,0.0,At Risk,False,同类份额与预测销量同时下降，核查原因
UNKNOWN_SKU_452160,False,14.63,162.37616847950164,70.71900566173055,180.8207781217279,10.098849520129985,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_814726,False,14.240000000000002,67.09263338244111,0.0,85.04555486605709,3.7115613330365935,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_177339,False,14.08,0.0,0.0,3.853099537945564,-1.0,,,,Data Review,False,补齐INN后再形成分子级商业建议
FOLLITROPIN DELTA,True,14.05,2.7301951130168987,0.0,20.443576211668898,-0.8056800631304699,0.0008401748410043,0.1354353953523581,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
UNKNOWN_SKU_647419,False,13.64,39.85909872573602,0.0,57.05557688841312,1.9222213142035205,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_647290,False,13.48,27.236242573320016,0.0,44.231002517080086,1.020492772501485,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_814677,False,13.35,28.933010696466816,0.0,45.7638745873568,1.1672667188364656,,,,Data Review,True,补齐INN后再形成分子级商业建议
HYDROCHLOROTHIAZIDUM+QUINAPRILUM,True,12.88,60.68070151401824,0.0,76.91901813683943,3.71123458959769,-0.000388503777761,0.039615260148462,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_647301,False,12.59,34.60748831756114,0.0,50.48019066859521,1.748807650322569,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_691227,False,12.39,3.385645835211077,0.0,19.006200412598854,-0.7267436775455143,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_189194,False,12.11,0.0,0.0,15.267547694282973,-1.0,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_741377,False,11.75,18.10099212134588,0.0,32.91467382306553,0.5405099677741176,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_814724,False,11.679999999999998,16.85583571039763,0.0,31.581265691341077,0.4431366190408934,,,,Data Review,True,补齐INN后再形成分子级商业建议
NATRII FLUORIDUM*,True,11.65,14.5789234596215,0.0,29.266531274517995,0.2514097390233047,-0.0001041858691829,0.0411525106736347,0.0,Monitor,False,常规跟踪销量与生命周期信号
DEXAMETHASONUM+GENTAMICINUM,True,11.55,44.02362885732701,0.0,58.58516278540037,2.8115695980369706,-0.0037150826571918,0.0214193159955965,0.0,Monitor,False,常规跟踪销量与生命周期信号
VEMURAFENIBUM,True,11.47,3.344538096456492,0.0,17.805212915071326,-0.7084099305617705,-0.0097874673506728,0.1955479237854285,0.0,At Risk,False,同类份额与预测销量同时下降，核查原因
UNKNOWN_SKU_51209,False,11.15,36.97853556831414,0.0,51.03577394909491,2.31646058908647,,,,Data Review,False,补齐INN后再形成分子级商业建议
ENALAPRILUM+INDAPAMIDUM,True,11.14,4222.419350390611,4152.627088340715,4236.463981382709,378.03225766522536,-0.0003823759819891,0.0289548850031624,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_814715,False,11.12,26.97317050574352,0.0,40.99258672047734,1.4256448296531945,,,,Data Review,True,补齐INN后再形成分子级商业建议
BEMIPARINUM NATRICUM,True,10.72,0.0,0.0,13.51512066744124,-1.0,-8.218493638998165e-05,0.0822678622731032,0.0,At Risk,False,同类份额与预测销量同时下降，核查原因
