INN,market_level,market,peer_share,opportunity_probability,predicted_share_change_6m
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,0.0,0.017808638744765386,0
ACIDUM GLUTAMICUM,ATC4,A16A A Amino acids and derivates,0.022288870352698515,0.5828655261864337,0
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,ATC4,S01X A Other ophthalmologicals,0.0,0.010084285071666367,0
ACIDUM GLYCYRRHIZICUM,ATC4,G01A X Other antiinfectives and antiseptics,0.010111499974062745,0.04510653053442047,0
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,ATC4,A05B A Liver therapy,0.001502119760406447,0.03253288061732516,0
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,ATC4,A05B A Liver therapy,0.0,0.010112533659236988,0
ACIDUM HOPANTENICUM,ATC4,N06B X Other psychostimulants and nootropics,0.023899358234550326,0.181026646259775,0
ACIDUM IBANDRONICUM,ATC4,M05B A Bisphosphonates,0.24213364918090044,0.46911261292444445,0
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,ATC4,D02A F Salicylic acid preparations,0.0,0.010567967260627269,0
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,ATC4,D02A F Salicylic acid preparations,0.0,0.017286994153460453,0
ACIDUM MEFENAMICUM,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",0.07148869475460255,0.2608778779736747,0
ACIDUM METHYLSILICICUM*,ATC4,A07B C Others intestinal adsorbents,0.17979715005009925,0.25201842205666347,0
ACIDUM MYCOPHENOLICUM,ATC4,L04A A Selective immunosuppressants,0.20250646875201428,0.35411880009284874,0
ACIDUM NICOTINOYL-GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,0.0,0.00994950080176779,0
ACIDUM PAMIDRONICUM,ATC4,M05B A Bisphosphonates,0.0,0.06312151573776512,0
ACIDUM PIPEMIDICUM,ATC3,J01M QUINOLONE ANTIBACTERIALS,0.01830256577049607,0.10579564408636102,0
ACIDUM RISEDRONICUM,ATC4,M05B A Bisphosphonates,0.0989866015198538,0.3247838646670447,0
ACIDUM RYBONUCLEINICUM*,ATC4,J05A X Other antivirals,0.007716327749860174,0.0810065978043944,0
ACIDUM SALICYLICUM*+BETAMETHASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",0.8870404724946048,0.3678766971876362,0
ACIDUM SALICYLICUM*+CAPSICUM ANNUUM+RICINUS COMMUNIS,ATC4,D11A X Other dermatologicals,0.1631196819112546,0.38720504951326873,0
ACIDUM SALICYLICUM*+CLOTRIMAZOLUM,ATC4,D01A C Imidazole and triazole derivatives,0.0,0.010154884381362006,0
ACIDUM SALICYLICUM*+FLUMETASONUM,ATC4,"D07B B Corticosteroids, moderately potent, combinations with antiseptics",0.11052021706942027,0.24319858425772453,0
ACIDUM SALICYLICUM*+FLUOROURACILUM,ATC3,D11A OTHER DERMATOLOGICAL PREPARATIONS,0.02591517318053188,0.2979565901908983,0
ACIDUM SALICYLICUM*+MOMETASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",0.10801683446214548,0.3855257834563271,0
ACIDUM SALICYLICUM*+UREA PURA*,ATC4,D02A F Salicylic acid preparations,0.0,0.010701919216981928,0
ACIDUM SALICYLICUM*+ZINCI OXYDUM*,ATC4,D02A F Salicylic acid preparations,0.5089187410170377,0.6475034436661082,0
ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,ATC4,A05B A Liver therapy,0.0,0.010112533659236988,0
ACIDUM SUCCINICUM+INOSINUM+NICOTINAMIDUM+RIBOFLAVINUM,ATC4,N07X X Other nervous system drugs,0.0,0.011986428150186445,0
ACIDUM THIOCTICUM*,ATC4,A16A X Various alimentary tract and metabolism products,0.13245058493854173,0.41007214213779547,0
ACIDUM TIAZOTICUM+AMIODARONUM,ATC4,C01E X Other cardiac combination products,0.0,0.01174063702121448,0
ACIDUM TIAZOTICUM+CRATAEGUS L.*&+DIPYRIDAMOLUM+HERBA MELISSAE,ATC4,C01E X Other cardiac combination products,0.0,0.009997770792644644,0
ACIDUM TIAZOTICUM+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,0.03963651229805485,0.23204895038748746,0
ACIDUM UNDECYLENICUM+ZINC UNDECYLENATE,ATC4,D01A E Other antifungals for topical use,0.0,0.010721818085549357,0
ACIDUM VALPROICUM,ATC3,N03A ANTIEPILEPTICS,0.20714527897332313,0.3418953990283388,0
ACORUS CALAMUS*&,ATC4,A15 APPETITE STIMULANTS,0.1455509724599758,0.31516155821215297,0
ACORUS CALAMUS*&+BISMUTHI SUBNITRAS*+FRANGULA ALNUS*&+MAGNESII CARBONAS+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,0.0208972445522258,0.16124704277369104,0
ACORUS CALAMUS+ANETHUM GRAVEOLENS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,ATC4,A16A X Various alimentary tract and metabolism products,0.0024573966925347055,0.0383292917672565,0
ACORUS CALAMUS+FRANGULA ALNUS+MENTHA PIPERITA+URTICA DIOICA+VALERIANA,ATC4,A16A X Various alimentary tract and metabolism products,0.0036858881922032785,0.0370811381891644,0
ACORUS*&+ARNICA*&+BENZOCAINUM+QUERCUS*&+MENTHA*&+MATRICARIA*&+THYMUS*&+SALVIA*&,ATC4,A01A D Other agents for local oral treatment,0.005501568100322889,0.09331715752425622,0
ACORUS+ALTHAEA+SAMBUCUS+INULA+URTICA+TILIA+MENTHA+CALENDULA+MATRICARIA+GLYCYRRHIZA+THYMUS+SALVIA*&,ATC4,R05C A Expectorants,0.03616544935452646,0.2091956689805835,0
ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,ATC4,A02X OTHER DRUGS FOR ACID RELATED DISORDERS,0.1506428466964523,0.3018117618033293,0
ACORUS+ARNICA+QUERCUS+MENTHA+MATRICARIA+THYMUS+SALVIA*&,ATC4,A01A D Other agents for local oral treatment,0.018220089146622893,0.4622370833851802,0
ACORUS+URTICA+CALENDULA+MATRICARIA+SOPHORA+CHELIDONIUM+ROSA L.*&,ATC4,A01A D Other agents for local oral treatment,0.012464537673554455,0.34548159309896814,0
ACRIVASTINUM,ATC4,R06A X Other antihistamines for systemic use,0.0,0.01827988054864684,0
ADALIMUMAB,ATC4,L04A B Tumor necrosis factor alpha inhibitors,0.8555065760948114,0.5214472193453763,0
ADAPALENUM,ATC4,D10A D Retinoids for topical use in acne,0.06958963115984965,0.6225208186973789,0
ADAPALENUM+BENZOYLI PEROXIDUM*,ATC4,D10A D Retinoids for topical use in acne,0.3211644202099199,0.3214885141116387,0
ADAPALENUM+CLINDAMYCINUM,ATC4,D10A D Retinoids for topical use in acne,0.5601206856630638,0.2881978120163744,0
ADEMETIONINUM,ATC4,A16A A Amino acids and derivates,0.672078874827571,0.38358401239042433,0
ADENOSINI PHOSPHAS,ATC4,C01E B Other cardiac preparations,0.0003116314562613718,0.0392488181441158,0
