SKU,ATC1,ATC2,ATC3,ATC4,ATC5,Brand,INN,NFC,Description,known_inn,INN_key,strength_value,strength_unit,strength_mg,pack_size,dosage_form,concentration_flag,multi_strength_flag,strength_parse_status
306055,A ALIMENTARY TRACT AND METABOLISM,A10 DRUGS USED IN DIABETS,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B A Biguanides,A10B A02 Metformin,9091,METFORMINUM,Oral Solid Ordinary,"tabs coated w/film 1000 mg blister, #30",True,METFORMINUM,1000.0,mg,1000.0,30.0,Oral solid,False,False,single_mass
22848,S SENSORY ORGANS,S01 OPHTALMOLOGICALS,S01X OTHER OPHTHALMOLOGICALS,S01X A Other ophthalmologicals,S01X A30** Others,21364,-,Ophthalmic,"drops, eye capsules polyethylene 0,45 ml, #15",False,UNKNOWN_SKU_22848,,,,15.0,Ophthalmic,False,False,not_comparable_or_missing
180403,N NERVOUS SYSTEM,N01 ANESTHETICS,"N01B ANESTHETICS, LOCAL",N01B B Amides,N01B B02 Lidocaine,6485,LIDOCAINUM,Parenteral Ordinary,"sol. for inj. 20 mg/ml amp. 2 ml, one-sided blister, pack, #10",True,LIDOCAINUM,,,,10.0,Parenteral,True,False,not_comparable_or_missing
36572,"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES",H03 THYROID THERAPY,H03A THYROID PREPARATIONS,H03A A Thyroid hormones,H03A A01 Levothyroxine sodium,40070,LEVOTHYROXINUM NATRICUM,Oral Solid Ordinary,"tabs 100 mcg, #50",True,LEVOTHYROXINUM NATRICUM,100.0,mcg,0.1,50.0,Oral solid,False,False,single_mass
31895,G GENITO URINARY SYSTEM AND SEX HORMONES,G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A X Other antiinfectives and antiseptics,G01A X10** Various preparations,36471,EUCALYPTUS VIMINALIS*&,Vaginal,"suppository 0,05 g blister, #5",True,EUCALYPTUS VIMINALIS*&,,,,5.0,Other,False,False,not_comparable_or_missing
115220,N NERVOUS SYSTEM,N01 ANESTHETICS,"N01B ANESTHETICS, LOCAL",N01B A Esters of amino benzoic acid,N01B A02 Procaine,30032,PROCAINUM,Parenteral Ordinary,"sol. for inj. 5 mg/ml amp. 5 ml, in a pack with dividers, #10",True,PROCAINUM,,,,10.0,Parenteral,True,False,not_comparable_or_missing
12358,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B A Salicylic acid and derivatives,N02B A01 Acetylsalicylic acid,46907,ACIDUM ACETYLSALICYLICUM*,Oral Solid Ordinary,"tabs 500 mg, #20",True,ACIDUM ACETYLSALICYLICUM*,500.0,mg,500.0,20.0,Oral solid,False,False,single_mass
99569,D DERMATOLOGICAL,D03 PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03A CICATRIZANTS,D03A X Other cicatrizants,"D03A X50** Other preparations, incl. combinations",23195,SALVIA OFFICINALIS*&,"Topical Dermatological, Haemorrhoidal, External",tinct. 40 ml flask,True,SALVIA OFFICINALIS*&,,,,,Topical,False,False,not_comparable_or_missing
88589,A ALIMENTARY TRACT AND METABOLISM,A10 DRUGS USED IN DIABETS,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B D Combinations of oral blood glucose lowering drugs,A10B D02 Metformin and sulfonylureas,18520,GLIBENCLAMIDUM+METFORMINUM,Oral Solid Ordinary,"tabs coated w/film 500 mg + 2,5 mg, #30",True,GLIBENCLAMIDUM+METFORMINUM,,,,30.0,Oral solid,False,True,not_comparable_or_missing
268095,A ALIMENTARY TRACT AND METABOLISM,A11 VITAMINS,"A11C VITAMIN A END D, INCL. COMBINATIONS OF THE TWO",A11C C Vitamin D ans analogues,A11C C05 Colecalciferol,44604,COLECALCIFEROLUM,Oral Liquid Ordinary,"oral solution 375 mcg/ml flask 10 ml, #1",True,COLECALCIFEROLUM,,,,1.0,Oral liquid,True,False,not_comparable_or_missing
44381,M MUSCULO-SCELETAL SYSTEM,M02 TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"M02A A Antiinflammatory preparations, non-steroids for topical use",M02A A15 Diclofenac,34028,DICLOFENACUM,"Topical Dermatological, Haemorrhoidal, External","gel 10 mg/g tube 40 g, in a pack, #1",True,DICLOFENACUM,,,,1.0,Topical,True,False,not_comparable_or_missing
241248,G GENITO URINARY SYSTEM AND SEX HORMONES,G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A F Imidazole derivatives,G01A F20 Combinations of imidazole derivatives,12374,METRONIDAZOLUM+MICONAZOLUM,Vaginal,"suppositories vaginal blister, #7",True,METRONIDAZOLUM+MICONAZOLUM,,,,7.0,Other,False,False,not_comparable_or_missing
