split,origin,horizon,model,WAPE,Bias,RMSE,MASE,MASE_eligible,observations
validation,2021-12-01,3,Ridge ARX,0.2599024719990223,-0.1560067010710936,55899.71486485167,2.523952667763713,2592,8121
validation,2021-12-01,6,Ridge ARX,0.3522231939286565,-0.020680080343524226,57292.350896020165,2.8245217469762527,2592,16242
validation,2021-12-01,12,Ridge ARX,0.45756499965489006,0.0580858281393465,80585.63094688347,3.603736627793374,2592,32484
validation,2021-12-01,3,Global Gradient Boosting,0.2012381967538305,-0.03521965377747542,38301.70585235723,3.767703674237807,2592,8121
validation,2021-12-01,6,Global Gradient Boosting,0.2943240913655322,0.1159197957210114,40941.85229061888,6.713055720059075,2592,16242
validation,2021-12-01,12,Global Gradient Boosting,0.35250859756523883,0.23783241416888634,46764.778692556334,13.220502047054767,2592,32484
validation,2022-03-01,3,Seasonal Naive,0.5809556358035288,0.5512895384447098,54387.6134196351,1.5187795578667587,2607,8121
validation,2022-03-01,6,Seasonal Naive,0.4948992953295456,0.4694021531015553,51096.82792712265,1.6896904432909474,2607,16242
validation,2022-03-01,3,Damped ETS,0.40727433154042103,0.32314156238912384,40952.845168155574,1.0837783260771685,2607,8121
validation,2022-03-01,6,Damped ETS,0.38608762825583515,0.2901364979855661,42590.534848153635,1.3914537005772372,2607,16242
validation,2022-03-01,3,Ridge ARX,0.40720949248672744,0.3148258142945863,42432.93917889983,2.2283493481623013,2607,8121
validation,2022-03-01,6,Ridge ARX,0.4705219976499597,0.35347433921419885,56980.63750823885,2.887080260163706,2607,16242
validation,2022-03-01,3,Global Gradient Boosting,0.30512219791797096,0.22209815759626547,30240.901529295952,2.590583130125238,2607,8121
validation,2022-03-01,6,Global Gradient Boosting,0.34090313626142404,0.27127620925423923,37039.775332989746,6.0141694176221705,2607,16242
validation,2022-06-01,3,Seasonal Naive,0.4197908509138102,0.39793229862574653,47578.978077973574,1.993348719560924,2612,8121
validation,2022-06-01,6,Seasonal Naive,0.41701514385322885,0.3906839996845978,52843.37754284973,2.935436868098547,2612,16242
validation,2022-06-01,3,Damped ETS,0.14695369818422202,0.08680915459994348,21681.629492071315,1.4055037240141708,2612,8121
validation,2022-06-01,6,Damped ETS,0.195400953229091,0.12307183673309349,29899.887122416774,2.4460737947652946,2612,16242
validation,2022-06-01,3,Ridge ARX,0.24302703942252493,0.12956819343893894,32759.881799018716,3.187744476040935,2612,8121
validation,2022-06-01,6,Ridge ARX,0.36844876997496484,0.24661514263829054,51231.99782221058,5.140525002344259,2612,16242
validation,2022-06-01,3,Global Gradient Boosting,0.17150728986086178,0.08343068976177043,23788.21253190463,3.148677536987929,2612,8121
validation,2022-06-01,6,Global Gradient Boosting,0.21139096280030883,0.1315457999225933,30506.165112621307,8.649980386031615,2612,16242
validation,2022-09-01,3,Seasonal Naive,0.414566980600436,0.3842910271101571,57628.86382124864,2.5558436373323525,2625,8121
validation,2022-09-01,3,Damped ETS,0.17756714067915605,0.1096636348349049,25903.587651719663,1.9789354753145583,2625,8121
validation,2022-09-01,3,Ridge ARX,0.18672380704330274,0.11371270012158653,27866.982575687085,3.6741239801669154,2625,8121
validation,2022-09-01,3,Global Gradient Boosting,0.1565859992670337,0.10332544456207363,25149.61701435981,4.513049203074342,2625,8121
locked_holdout,2022-12-01,12,Seasonal Naive,0.25014353697655295,-0.004337093973889755,35582.1620722869,6.233219197640074,2646,32484
locked_holdout,2022-12-01,12,Damped ETS,0.1896721153868542,-0.10891665346514769,21937.366017763008,6.062636432646357,2646,32484
locked_holdout,2022-12-01,12,Ridge ARX,0.356988439010022,-0.18518153314757504,57465.10228490372,7.265874136480617,2646,32484
locked_holdout,2022-12-01,12,Global Gradient Boosting,0.2102664212361615,-0.11291233415181662,28876.421274721444,19.32646836103905,2646,32484
locked_holdout,2022-12-01,12,Segmented models,0.18944139501453872,-0.10935824577335122,21937.603083936952,15.652874034335095,2646,32484
