SKU,forecast_2024,model
316596,0.0,Seasonal Naive
77385,47.36,Seasonal Naive
188002,59.900000000000006,Seasonal Naive
118775,0.0,Seasonal Naive
155151,0.0,Seasonal Naive
410884,0.0,Seasonal Naive
91425,1992.1799999999998,Seasonal Naive
484871,6265.070000000001,Seasonal Naive
360666,0.0,Seasonal Naive
169132,0.0,Seasonal Naive
175493,0.0,Seasonal Naive
19911,350.47999999999996,Seasonal Naive
366326,0.0,Seasonal Naive
448034,5270.910000000001,Seasonal Naive
50039,0.0,Seasonal Naive
238362,0.0,Seasonal Naive
132332,0.0,Seasonal Naive
80091,0.0,Seasonal Naive
31463,133.24,Seasonal Naive
448939,368.17,Seasonal Naive
50138,16.45,Seasonal Naive
77290,0.0,Seasonal Naive
245044,0.0,Seasonal Naive
134629,0.0,Seasonal Naive
174110,0.0,Seasonal Naive
485161,13.98,Seasonal Naive
299776,0.0,Seasonal Naive
175339,14952.669999999996,Seasonal Naive
353089,0.0,Seasonal Naive
348831,0.0,Seasonal Naive
33976,0.0,Seasonal Naive
159888,0.0,Seasonal Naive
289674,0.0,Seasonal Naive
295283,179.16,Seasonal Naive
70828,59.580000000000005,Seasonal Naive
287544,0.0,Seasonal Naive
86242,0.0,Seasonal Naive
110071,0.0,Seasonal Naive
182808,0.0,Seasonal Naive
88602,0.0,Seasonal Naive
113469,0.0,Seasonal Naive
84158,0.0,Seasonal Naive
48270,22.91,Seasonal Naive
82909,0.0,Seasonal Naive
192470,0.0,Seasonal Naive
82850,0.0,Seasonal Naive
82222,0.0,Seasonal Naive
163859,0.0,Seasonal Naive
85513,0.0,Seasonal Naive
138610,0.0,Seasonal Naive
448934,61.300000000000004,Seasonal Naive
84157,1.31,Seasonal Naive
40749,59.050000000000004,Seasonal Naive
70831,0.0,Seasonal Naive
196887,0.0,Seasonal Naive
23430,0.0,Seasonal Naive
421513,0.0,Seasonal Naive
51909,105.21000000000001,Seasonal Naive
111049,0.0,Seasonal Naive
240822,0.0,Seasonal Naive
83894,138.78,Seasonal Naive
153632,0.0,Seasonal Naive
82851,0.0,Seasonal Naive
359507,0.0,Seasonal Naive
136047,1312.62,Seasonal Naive
111775,0.0,Seasonal Naive
187584,0.0,Seasonal Naive
92128,0.0,Seasonal Naive
167736,0.0,Seasonal Naive
227734,546.65,Seasonal Naive
154922,0.0,Seasonal Naive
109291,0.0,Seasonal Naive
99703,0.0,Seasonal Naive
