INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,True,66555.99,55934.54009816588,29755.843720169993,74148.09509223617,-0.1595866863648805,Damped ETS
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,True,965.88,1286.621200554195,0.0,2504.343658601597,0.33207147943242954,Damped ETS
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,True,0.0,14.63184460181094,8.36683005514169,15.8925834700424,,Damped ETS
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,True,6411.19,3236.077994013518,0.0,11318.914418630366,-0.4952453454017869,Damped ETS
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,True,56597.56,40310.70237362778,18048.98950638014,55799.05693931288,-0.2877660737737143,Damped ETS
ACICLOVIRUM,True,2839803.52,2861601.0430969456,2066978.0045445277,3346262.607393394,0.007675715218828039,Damped ETS
ACICLOVIRUM+HYDROCORTISONUM,True,4557.74,0.0,0.0,1247.260361369035,-1.0,Damped ETS
ACIDUM ACETYLSALICYLICUM*,True,22352905.150000002,21244309.619881522,14989604.572270695,25059219.313552566,-0.04959514312252522,Damped ETS
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,True,0.0,187.80045804106564,181.5354434943964,189.0611969092971,,Damped ETS
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,True,63299.93000000001,59436.01293050029,34538.03382721607,76758.52223696241,-0.061041411412298796,Damped ETS
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,True,0.0,28.508972578027077,22.243958031357828,29.769711446258537,,Damped ETS
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,True,4580.240000000001,3542.6142942670635,0.0,9317.100888095523,-0.2265439596468607,Damped ETS
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,True,36139314.25,33655927.21349222,23543561.516961325,39823725.95507768,-0.06871704923144129,Damped ETS
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,True,0.0,9.014204229753581,2.7491896830843325,10.274943097985041,,Damped ETS
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,True,55833.780000000006,93206.33506488135,71245.0424110448,108485.67540009118,0.6693538403611816,Damped ETS
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,True,298761.6,258544.7926913452,141031.8653679855,340303.1863643479,-0.13461170146583357,Damped ETS
ACIDUM ADENOSINTRIPHOSPHORICUM*,True,270805.63,232793.96694865028,126277.05742297281,306901.9959135691,-0.14036511372141602,Damped ETS
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,True,561909.23,575551.2105892288,354533.5212097536,729321.9630381172,0.024277907998109916,Damped ETS
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,True,379866.61000000004,333902.84371993336,184488.603959867,437856.24283015693,-0.12099975378216754,Damped ETS
ACIDUM ALENDRONICUM,True,52891.130000000005,56635.7952705301,35831.94525854605,71109.85695834394,0.07079949455665058,Damped ETS
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,True,3459.6400000000003,130.48313943456992,0.0,4492.185757522856,-0.9622841858012481,Damped ETS
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,True,596321.01,651070.7040476816,416517.7109270046,814258.5029182947,0.09181245190016307,Damped ETS
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,True,47409.77999999999,2787.479277213095,0.0,15761.52767295889,-0.9412045515247467,Damped ETS
ACIDUM AZELAICUM,True,166105.49,179755.85636443412,114421.01288260428,225211.89235656633,0.08217889947186041,Damped ETS
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,True,1926.13,1557.1451521922684,0.0,3985.4921084589287,-0.19156798752302895,Damped ETS
ACIDUM BORICUM*,True,1871579.6599999997,1900349.5583740112,1376651.2440898945,2219766.982619269,0.0153719870913811,Damped ETS
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,True,39815.329999999994,44129.73010293559,28469.02946187066,55025.49925252011,0.10836027487240707,Damped ETS
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,True,0.0,244.61186238922085,238.3468478425516,245.87260125745232,,Damped ETS
ACIDUM BORICUM*+ZINCI SULFAS*,True,793.45,3.0411313654124683,0.0,1003.3743863636637,-0.9961672047823902,Damped ETS
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,True,42467.47,44662.181789986644,27958.305804194093,56283.72930665689,0.05167983376421148,Damped ETS
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,True,0.0,143.74120664677335,137.4761921001041,145.00194551500482,,Damped ETS
ACIDUM CLODRONICUM,True,0.0,2.869106315867394,0.0,4.129845184098853,,Damped ETS
ACIDUM CROMOGLICICUM,True,175414.97,173755.75552695023,104759.18226907731,221759.40182352232,-0.00945879632194313,Damped ETS
ACIDUM ETACRYNICUM,True,0.0,4.435288989535426,0.0,5.696027857766885,,Damped ETS
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,True,67826.0,70041.65695958909,43363.423181773614,88602.75989003624,0.032666779105196886,Damped ETS
ACIDUM FOLICUM+FERRI SULFAS*,True,112459.70999999999,91314.61721218644,47080.45282146116,122090.07578026116,-0.1880237178969567,Damped ETS
ACIDUM FORMICUM*,True,545459.0599999999,543241.4455669015,390613.16244429105,636333.4638764183,-0.0040655928111240636,Damped ETS
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,True,34312.57,52686.147468160605,39189.86633736035,62076.044315655265,0.5354765751490083,Damped ETS
ACIDUM FUSIDICUM,True,12648.050000000001,11689.918714286585,6715.017721547826,15151.154198016158,-0.07575328099694545,Damped ETS
ACIDUM FUSIDICUM+BETAMETHASONUM,True,0.0,0.0,0.0,1.260738868231459,,Damped ETS
ACIDUM GADOPENTETICUM,True,0.0,12.366081287048333,6.101066740379085,13.626820155279791,,Damped ETS
ACIDUM GADOTERICUM,True,5811.93,6977.1720148432505,0.0,14304.498065283715,0.20049140558183765,Damped ETS
ACIDUM GADOXETICUM,True,1.69,1.4160928916239595,0.0,3.546741578935125,-0.16207521205682873,Damped ETS
ACIDUM GAMMA-AMINOBUTYRICUM*,True,185138.67,170687.74830396078,97866.51869328297,221352.35937163522,-0.07805458306489532,Damped ETS
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,True,5.470000000000001,0.0,0.0,6.896241609226082,-1.0,Damped ETS
ACIDUM GLUTAMICUM,True,40168.04,28077.524970414423,12278.091692369968,39069.81590537031,-0.300998381538795,Damped ETS
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,True,0.0,12.863024726944962,6.598010180275714,14.12376359517642,,Damped ETS
ACIDUM GLYCYRRHIZICUM,True,7276.959999999999,6661.048568542667,0.0,15835.394883108263,-0.08463856218219312,Damped ETS
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,True,7568.33,6995.215631501765,0.0,16536.903430103965,-0.07572534079489601,Damped ETS
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,True,0.0,74.63873543496595,68.3737208882967,75.89947430319741,,Damped ETS
ACIDUM HOPANTENICUM,True,203003.5,181822.03078493976,101973.96616790848,237375.4890272219,-0.10434041390941651,Damped ETS
ACIDUM IBANDRONICUM,True,28655.37,25213.478389976146,13942.363185632676,33055.239249824095,-0.12011331942403303,Damped ETS
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,True,0.0,0.0,0.0,1.260738868231459,,Damped ETS
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,True,0.0,141.96416668835522,135.69915214168597,143.2249055565867,,Damped ETS
ACIDUM MEFENAMICUM,True,2442727.7,2555160.794908541,1871646.004656376,2972054.506003126,0.046027682458646746,Damped ETS
