INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
ACIDUM SALICYLICUM*+FLUMETASONUM,0.0,4185.254833333334,0.14061939660078998,1.0,0.019773814700370266,0,0,0,0.38641475673918435,0.6477780490015074,0.5662667263318539,Stable
ACIDUM SALICYLICUM*+FLUOROURACILUM,0.55,1005.3236666666666,1.557044296580213,2.2222222222222223,0.5409741236808364,33,0,0,0.025316454558974577,0.7777128627342226,0.8315281096313588,Lumpy / volatile
ACIDUM SALICYLICUM*+MOMETASONUM,0.0,5053.994000000001,0.1727027745561874,1.0,0.029826248339405288,0,0,0,0.25430402950894515,0.0018493579984544262,-0.0013837017280898616,Stable
ACIDUM SALICYLICUM*+UREA PURA*,0.8333333333333334,97.47866666666667,2.9967924540250985,6.0,0.6634608354169615,0,50,0,0.02310980824485609,0.4097999955215279,,Potential discontinued
ACIDUM SALICYLICUM*+ZINCI OXYDUM*,0.0,21037.970833333333,0.14921100932681683,1.0,0.022263925304327414,0,0,0,0.2671737926858264,0.04111001159012517,-0.001824168742682534,Stable
ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,0.6833333333333333,150.73583333333332,2.9999725247491282,3.1578947368421053,2.166614463929058,0,41,0,0.03521712663258891,0.5435413921307273,0.7344118637907384,Potential discontinued
ACIDUM SUCCINICUM+INOSINUM+NICOTINAMIDUM+RIBOFLAVINUM,0.36666666666666664,1767.7278333333336,1.9689132336291337,1.5789473684210527,2.088525570321291,0,22,0,0.13837835198559156,0.8643099453702413,0.5434169836105343,Potential discontinued
ACIDUM THIOCTICUM*,0.0,45480.429833333335,0.16677350489533063,1.0,0.027813401935072875,0,0,0,0.23343362952807178,0.08176484401114992,-0.2709988560295494,Stable
ACIDUM TIAZOTICUM,0.0,106344.44849999998,0.2639435988292907,1.0,0.06966622336295752,0,0,0,0.4179164305100308,0.7706262628870322,0.5562895113270659,Stable
ACIDUM TIAZOTICUM+AMIODARONUM,0.4,154.99183333333335,1.0683892527754584,1.6666666666666667,0.28487335726766144,0,23,1,0.03440343801012735,0.8434388156359858,0.8320960929240327,Potential discontinued
ACIDUM TIAZOTICUM+CRATAEGUS L.*&+DIPYRIDAMOLUM+HERBA MELISSAE,0.7,27.662333333333333,2.5648115401328004,3.3333333333333335,1.2734774709195171,0,39,3,0.028345516169703155,0.6100290994695415,0.3409239420794077,Potential discontinued
ACIDUM TIAZOTICUM+PIRACETAMUM,0.0,35358.61283333333,0.21020424822477157,1.0,0.04418582597174139,0,0,0,0.30114779345568854,0.473968131117974,0.03299992625524542,Stable
ACIDUM UNDECYLENICUM+ZINC UNDECYLENATE,0.9166666666666666,6.248499999999999,3.6513536687904815,12.0,0.19436530121580894,0,55,0,0.10661720113275941,0.21267722143412449,,Potential discontinued
ACIDUM VALPROICUM,0.0,39459.21950000001,0.1388461275027758,1.0,0.019278247122517078,0,0,0,0.3171615566989995,0.025402911811879147,0.04485584918403457,Stable
ACORUS CALAMUS*&,0.0,7640.456166666667,0.34548028119531715,1.0,0.1193566246947954,0,0,0,0.6478261454638035,0.8237073782534695,0.8121643990669793,Seasonal
ACORUS CALAMUS*&+BISMUTHI SUBNITRAS*+FRANGULA ALNUS*&+MAGNESII CARBONAS+NATRII HYDROCARBONAS*,0.0,4219.4145,0.30411082972347836,1.0,0.09248339675510245,0,0,0,0.5807140920421623,0.8429470984747949,0.8077746980010777,Seasonal
ACORUS CALAMUS+ANETHUM GRAVEOLENS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,0.0,1417.6278333333332,0.5099961651246739,1.0,0.26009608844187365,0,0,0,0.7624737049683296,0.9215222284143242,0.8830619698246676,Seasonal
ACORUS CALAMUS+FRANGULA ALNUS+MENTHA PIPERITA+URTICA DIOICA+VALERIANA,0.0,1883.1375,0.44624133413875033,1.0,0.19913132829393182,0,0,0,0.7854210504794065,0.9015025015690212,0.9177251658935819,Seasonal
ACORUS*&+ARNICA*&+BENZOCAINUM+QUERCUS*&+MENTHA*&+MATRICARIA*&+THYMUS*&+SALVIA*&,0.0,2295.0486666666666,0.1517986874779587,1.0,0.023042841520030964,0,0,0,0.16292444891826008,0.03086104063799011,-0.5655224786623698,Stable
ACORUS+ALTHAEA+SAMBUCUS+INULA+URTICA+TILIA+MENTHA+CALENDULA+MATRICARIA+GLYCYRRHIZA+THYMUS+SALVIA*&,0.0,41825.16599999999,0.593209368481679,1.0,0.35189735485443246,0,0,0,0.7430851882272,0.2973015973130302,0.5470014299846553,Seasonal
ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,0.0,13769.024833333333,0.2826264685728589,1.0,0.07987772073796519,0,0,0,0.8101513977442569,0.6210525091342384,0.7749801835392658,Seasonal
