SKU,INN,ATC4,ATC5,allocated_direct_2024
265868,SILDENAFILUM,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,0.0
34715,TERBINAFINUM,D01A E Other antifungals for topical use,D01A E15 Terbinafine,3127.2383466137208
134545,DEXTROMETHORPHANUM+DOXYLAMINUM+PARACETAMOLUM,N02B E Anilides,"N02B E51 Paracetamol, combinations excl. psycholeptics",54.010031540778826
190527,ACIDUM RISEDRONICUM,M05B A Bisphosphonates,M05B A07 Risedronic acid,9758.25391279283
100129,AMANTADINUM,N04B B Adamantane derivatives,N04B B01 Amantadine,8364.622832912602
353077,PENTOXIFYLLINUM,C04A D Purine derivatives,C04A D03 Pentoxifylline,0.0
110780,HYPERICUM PERFORATUM*&,A01A D Other agents for local oral treatment,A01A D11 Various,640.0904497347157
85521,VITAMIN C+VITAMIN B5+VITAMIN PP+PYRIDOXINUM+RETINOLUM+VITAMIN B2+RUTOSIDUM+THIAMINUM+TOCOPHEROL*+VITAMIN B9+VITAMIN B12,"A11B A Multivitamins, plain","A11B A Multivitamins, plain",0.0
127244,DICLOFENACUM,M01A B Acetic acid derivatives and related substances,M01A B05 Diclofenac,13295.06297272925
421524,PAROXETINUM,N06A B Selective serotonin reuptake inhibitors,N06A B05 Paroxetine,16412.94683807562
26894,TORASEMIDUM,"C03C A Sulfonamides, plain",C03C A04 Torasemide,7024.995919696372
443266,VITAMIN C+PARACETAMOLUM+PHENIRAMINUM+PHENYLEPHRINUM,N02B E Anilides,"N02B E51 Paracetamol, combinations excl. psycholeptics",10309.159731696549
187594,DUTASTERIDUM,G04C B Testosterone-5-alpha reductase inhibitors,G04C B02 Dutasteride,7871.400821568966
19948,ALNUS INCANA/GLUTINOSA*&,A16A X Various alimentary tract and metabolism products,A16A X25** Various preparations,4158.368260660515
117685,CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&,A06A B Contact laxatives,A06A B06 Senna glycosides,9.034651149959142
81657,KETOCONAZOLUM,D01A C Imidazole and triazole derivatives,D01A C08 Ketoconazole,583.3050916656046
378776,DEXKETOPROFENUM,M01A E Propionic acid derivatives,M01A E17 Dexketoprofen,153.11588387963042
63430,CLARITHROMYCINUM,J01F A Macrolides,J01F A09 Clarithromycin,1122.4968494027567
99331,OLMESARTANUM MEDOXOMILUM,"C09C A Angiotensin II receptor blockers (ARBs), plain",C09C A08 Olmesartan medoxomil,15971.990621659084
74535,FEXOFENADINUM,R06A X Other antihistamines for systemic use,R06A X26 Fexofenadine,22797.282368845157
110802,CHELIDONIUM MAJUS*&,A16A X Various alimentary tract and metabolism products,A16A X25** Various preparations,1314.1412417934637
440130,ESCITALOPRAM,N06A B Selective serotonin reuptake inhibitors,N06A B10 Escitalopram,52559.41095372979
88225,ACIDUM IBANDRONICUM,M05B A Bisphosphonates,M05B A06 Ibandronic acid,0.5895240759858978
93355,CRATAEGUS L.*&,C01E B Other cardiac preparations,C01E B04 Crataegus glycosides,2038.413754125916
155364,ACIDUM ACETYLSALICYLICUM*,B01A C Platelet aggregation inhibitors excl. heparin,B01A C06 Acetylsalicylic acid,32896.64843255711
85677,INSULINUM ASPARTUM,"A10A D Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10A D05 Insulin aspart,16053.778525587259
112637,UNKNOWN_SKU_112637,A13A TONICS,A13A TONICS,3765.2947255177555
113468,XYLOMETAZOLINUM,"R01A A Sympathomimetics, plain",R01A A07 Xylometazoline,0.0
174370,GLIMEPIRIDUM+METFORMINUM,A10B D Combinations of oral blood glucose lowering drugs,A10B D02 Metformin and sulfonylureas,10323.74055725329
166088,AMLODIPINUM+RAMIPRILUM,C09B B ACE inhibitors and calcium channel blockers,C09B B07 Ramipril and amlodipine,7454.313195534539
11461,FLUCONAZOLUM,J02A C Triazole and tetrazole derivatives,J02A C01 Fluconazole,731.9694877372481
