ATC4,INN,sales_2022,sales_2023,peer_share_2023,peer_share_2022
A03A X Other drugs for functional gastrointestinal disorders,PINAVERII BROMIDUM,31.479999999999997,222.42000000000002,9.828849208488413e-05,1.523132521954639e-05
A03A X Other drugs for functional gastrointestinal disorders,PLATYPHYLLINI HYDROTARTRAS*,148992.57,134492.6,0.059432941509646106,0.07208876394428308
A03A X Other drugs for functional gastrointestinal disorders,SIMETICONUM,1561823.22,1648087.92,0.7282981587991778,0.7556746314885373
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_11929,0.0,0.0,0.0,0.0
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_129199,2267.1099999999997,2400.86,0.0010609518438400994,0.0010969215285414808
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_129201,2034.1,2485.8999999999996,0.0010985314381522049,0.0009841816591194192
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_138417,582.8,344.44999999999993,0.00015221414935095014,0.00028198272992222483
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_55954,31676.660000000003,41941.22,0.01853403142703167,0.015326477456448427
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_55955,21234.96,26571.43,0.011742045621972182,0.010274351390853203
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_84455,5.92,0.0,0.0,2.864340702023972e-06
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_86088,14.32,0.0,0.0,6.928607914355284e-06
A03A X Other drugs for functional gastrointestinal disorders,UNKNOWN_SKU_86101,4234.81,165.39999999999998,7.309107360327233e-05,0.002048976123030091
"A03B A Belladonna alkaloids, tertiary amines",ATROPINI OXYDUM,36325.72,18241.97,1.0,1.0
"A03B B Belladonna alkaloids semisynthetic, quaternary ammonium compounds",SCOPOLAMINUM*,96576.09,70406.95999999999,1.0,1.0
A03D A Synthetic anticholinergic agents in combination with analgesics,DICYCLOVERINUM+PARACETAMOLUM,261599.05000000002,249619.67,0.03185587185933719,0.038352926926709316
A03D A Synthetic anticholinergic agents in combination with analgesics,FENPIVERINII BROMIDUM+KETOROLACUM+PITOFENONUM,28026.44,64123.06,0.008183233246757318,0.004108944605631415
A03D A Synthetic anticholinergic agents in combination with analgesics,METAMIZOLUM NATRICUM+PITOFENONUM+FENPIVERINII BROMIDUM,6531211.169999999,7522164.920000001,0.9599608948939057,0.9575381284676591
A03D B Belladonna and derivatives in combinations with analgesics,BENZOCAINUM+ATROPA BELLADONNA*&,154066.0,168762.83,0.8081239226432085,0.7512183295985171
A03D B Belladonna and derivatives in combinations with analgesics,BENZOCAINUM+ATROPA BELLADONNA*&+METAMIZOLUM NATRICUM+NATRII HYDROCARBONAS*,51022.17999999999,40070.03,0.19187607735679146,0.24878167040148289
A03D C Other antispasmodics in combination with analgesics,DROTAVERINUM+PARACETAMOLUM,0.0,0.0,nan,nan
A03E D Antispasmodics in combination with other drugs,ARTEMISIA ABSINTHIUM+ATROPA BELLADONNA+MENTHA PIPERITA+VALERIANA,137298.91,144308.58000000005,0.2103873289102721,0.1918848472699789
A03E D Antispasmodics in combination with other drugs,ATROPA BELLADONNA*&+NATRII HYDROCARBONAS*,12125.220000000001,13093.57,0.01908910210466814,0.016945844565079898
A03E D Antispasmodics in combination with other drugs,ATROPA BELLADONNA*&+PHENYLII SALICYLAS,23376.740000000005,21671.210000000003,0.03159443455235702,0.032670632159934904
A03E D Antispasmodics in combination with other drugs,DICYCLOVERINUM+SIMETICONUM,368920.41,382992.57,0.5583644700459279,0.5155921232559529
A03E D Antispasmodics in combination with other drugs,FENPIVERINII BROMIDUM+IBUPROFENUM+PITOFENONUM,173806.34999999998,123852.65999999999,0.18056466438677513,0.2429065527490531
A03F A Propulsives,DOMPERIDONUM,890320.2200000001,975489.3799999999,0.5511361463421328,0.5647252471411299
A03F A Propulsives,ITOPRIDUM,173580.46,250939.74999999997,0.14177700917570032,0.11010113661393763
A03F A Propulsives,METOCLOPRAMIDUM,480194.31999999995,500531.33999999997,0.2827923291702713,0.3045846314012353
A03F A Propulsives,MOSAPRIDUM,32459.659999999996,43000.340000000004,0.024294515311895526,0.020588984843697075
A04A A Serotonin (5HT3) antagonists,ONDANSETRON,315876.36999999994,452247.1699999999,0.9854997593709409,0.9960285475127283
A04A A Serotonin (5HT3) antagonists,PALONOSETRONUM,0.0,4093.69,0.008920631852575724,0.0
A04A A Serotonin (5HT3) antagonists,TROPISETRONUM,1259.49,2560.49,0.005579608776483225,0.003971452487271544
A04A D Other antiemetics,APREPITANTUM,644.19,954.5,0.001245627709713333,0.0008305493853594176
A04A D Other antiemetics,MENTHA PIPERITA,774974.95,765325.82,0.9987543722902865,0.9991694506146407
A05A A Bile acids and derivatives,URSODESOXYCHOLIC ACID,715037.0899999999,895350.1599999999,1.0,1.0
A05A X Other drugs for bile therapy,ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,7780.16,6411.19,0.001985526433678089,0.0024255985321103347
A05A X Other drugs for bile therapy,ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,63602.27,56597.56,0.01752809563617389,0.01982910026925991
A05A X Other drugs for bile therapy,ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,1947994.74,2028411.1500000001,0.6281928872319136,0.6073208239808247
A05A X Other drugs for bile therapy,CORIANDRUM SATIVUM*&+HELICHRYSUM ARENARIUM*&+MENTHA PIPERITA+MENYANTHES TRIFOLIATA&,14176.81,13005.880000000001,0.004027882270412387,0.004419864054981789
A05A X Other drugs for bile therapy,CYNARA SCOLYMUS*&,431315.52,502785.62000000005,0.1557112079010647,0.13447002274868458
A05A X Other drugs for bile therapy,HELICHRYSUM ARENARIUM*&,138110.81,162215.54,0.05023766923509761,0.043058417565264635
A05A X Other drugs for bile therapy,HYMECROMONUM,0.0,5080.139999999999,0.0015733042160325005,0.0
A05A X Other drugs for bile therapy,ROSA L.*&,143741.53,119742.46999999999,0.03708388605218463,0.04481389125304539
A05A X Other drugs for bile therapy,UNKNOWN_SKU_103964,113024.84,125020.44,0.038718457629561054,0.03523743547639193
A05A X Other drugs for bile therapy,UNKNOWN_SKU_129351,0.0,0.0,0.0,0.0
