SKU,missing_rate,negative_count,zero_rate,unknown_inn
69314,0.0,0,0.23333333333333334,False
389852,0.0,0,0.26666666666666666,False
317427,0.0,0,0.05,False
92373,0.0,0,0.0,False
110762,0.0,0,0.03333333333333333,False
105376,0.0,0,0.9833333333333333,False
50320,0.0,0,0.7833333333333333,False
86270,0.0,0,0.8666666666666667,False
10600,0.0,0,0.9333333333333333,False
285543,0.0,0,0.9833333333333333,False
142426,0.0,0,0.9833333333333333,False
36216,0.0,0,0.9666666666666667,False
110761,0.0,0,0.016666666666666666,False
73962,0.0,0,0.45,False
99390,0.0,0,0.8333333333333334,False
281487,0.0,0,0.3333333333333333,False
437374,0.0,0,0.7333333333333333,False
360356,0.0,0,0.05,False
410903,0.0,0,0.0,False
330891,0.0,0,0.0,False
305398,0.0,0,0.7333333333333333,False
377039,0.0,0,0.5666666666666667,False
159563,0.0,0,0.55,False
153023,0.0,0,0.9166666666666666,False
363712,0.0,0,0.8333333333333334,False
362374,0.0,0,0.03333333333333333,False
124492,0.0,0,0.9,False
90073,0.0,0,0.8,False
274909,0.0,0,0.03333333333333333,False
111056,0.0,0,0.85,False
94601,0.0,0,0.21666666666666667,False
136828,0.0,0,0.5,False
502484,0.0,0,0.7666666666666667,False
161764,0.0,0,0.9333333333333333,False
343128,0.0,0,0.9666666666666667,False
438274,0.0,0,0.9666666666666667,False
238300,0.0,0,0.0,False
295129,0.0,0,0.9333333333333333,True
66103,0.0,0,0.9833333333333333,False
71100,0.0,0,0.8833333333333333,False
189199,0.0,0,0.4,True
101737,0.0,0,0.21666666666666667,False
440758,0.0,0,0.016666666666666666,False
438610,0.0,0,0.0,False
100082,0.0,0,0.8166666666666667,False
154607,0.0,0,0.6333333333333333,False
115587,0.0,0,0.9333333333333333,False
88441,0.0,0,0.016666666666666666,False
197986,0.0,0,0.9666666666666667,False
93060,0.0,0,0.6666666666666666,False
12472,0.0,0,0.9333333333333333,False
378474,0.0,0,0.4666666666666667,False
69964,0.0,0,0.95,False
299212,0.0,0,0.9333333333333333,False
317957,0.0,0,0.016666666666666666,False
198282,0.0,0,0.9166666666666666,False
98795,0.0,0,0.8333333333333334,False
85050,0.0,0,0.9833333333333333,False
324005,0.0,0,0.8333333333333334,False
4273,0.0,0,0.3333333333333333,False
161390,0.0,0,0.7833333333333333,False
140991,0.0,0,0.7166666666666667,False
99881,0.0,0,0.0,False
80144,0.0,0,0.8666666666666667,False
485156,0.0,0,0.5833333333333334,False
134961,0.0,0,0.8166666666666667,False
112249,0.0,0,0.8,False
84145,0.0,0,0.55,False
439573,0.0,0,0.016666666666666666,False
187599,0.0,0,0.016666666666666666,False
308550,0.0,0,0.8333333333333334,False
378699,0.0,0,0.36666666666666664,False
336260,0.0,0,0.2,False
68065,0.0,0,0.26666666666666666,False
83750,0.0,0,0.8333333333333334,False
336176,0.0,0,0.6333333333333333,False
325843,0.0,0,0.13333333333333333,False
19500,0.0,0,0.4166666666666667,True
100084,0.0,0,0.9833333333333333,False
390268,0.0,0,0.55,False
121179,0.0,0,0.9,False
117831,0.0,0,0.48333333333333334,False
407127,0.0,0,0.9666666666666667,False
378703,0.0,0,0.38333333333333336,False
406471,0.0,0,0.016666666666666666,False
114223,0.0,0,0.23333333333333334,False
324135,0.0,0,0.25,False
150773,0.0,0,0.3,False
85813,0.0,0,0.9833333333333333,False
181002,0.0,0,0.9833333333333333,False
337200,0.0,0,0.06666666666666667,False
408898,0.0,0,0.8166666666666667,False
178301,0.0,0,0.5166666666666667,False
88588,0.0,0,0.9333333333333333,False
86277,0.0,0,0.35,True
171324,0.0,0,0.95,False
112248,0.0,0,0.9,False
324132,0.0,0,0.6,False
7600,0.0,0,0.5666666666666667,False
190518,0.0,0,0.0,False
74544,0.0,0,0.95,False
225761,0.0,0,0.16666666666666666,True
105528,0.0,0,0.95,False
130287,0.0,0,0.8666666666666667,False
65917,0.0,0,0.26666666666666666,False
163831,0.0,0,0.4166666666666667,True
170691,0.0,0,0.9666666666666667,False
534030,0.0,0,0.0,False
96858,0.0,0,0.7833333333333333,False
534028,0.0,0,0.11666666666666667,False
64184,0.0,0,0.18333333333333332,False
502479,0.0,0,0.11666666666666667,False
137247,0.0,0,0.5166666666666667,False
127374,0.0,0,0.8166666666666667,False
164721,0.0,0,0.9,False
57176,0.0,0,0.9666666666666667,False
287775,0.0,0,0.9833333333333333,False
30557,0.0,0,0.8166666666666667,False
317956,0.0,0,0.03333333333333333,False
83748,0.0,0,0.8666666666666667,False
246656,0.0,0,0.6,False
440481,0.0,0,0.0,False
327027,0.0,0,0.8333333333333334,False
161776,0.0,0,0.8833333333333333,False
173938,0.0,0,0.18333333333333332,False
99617,0.0,0,0.08333333333333333,False
40504,0.0,0,0.8,False
299208,0.0,0,0.7666666666666667,False
111763,0.0,0,0.9833333333333333,True
40915,0.0,0,0.8,False
440761,0.0,0,0.95,False
123533,0.0,0,0.9666666666666667,False
330553,0.0,0,0.8,False
230158,0.0,0,0.95,False
389544,0.0,0,0.8833333333333333,False
105527,0.0,0,0.9666666666666667,False
530509,0.0,0,0.6333333333333333,False
110939,0.0,0,0.9166666666666666,False
190958,0.0,0,0.9666666666666667,False
250891,0.0,0,0.43333333333333335,False
309183,0.0,0,0.9833333333333333,False
110487,0.0,0,0.08333333333333333,False
134323,0.0,0,0.85,True
9977,0.0,0,0.95,False
105524,0.0,0,0.9833333333333333,False
348835,0.0,0,0.21666666666666667,False
50730,0.0,0,0.8666666666666667,False
51878,0.0,0,0.8333333333333334,False
410517,0.0,0,0.7166666666666667,False
245043,0.0,0,0.016666666666666666,False
20985,0.0,0,0.0,True
165460,0.0,0,0.9166666666666666,True
34717,0.0,0,0.9666666666666667,False
18545,0.0,0,0.5166666666666667,False
172011,0.0,0,0.43333333333333335,False
480610,0.0,0,0.8333333333333334,True
134050,0.0,0,0.9666666666666667,False
108855,0.0,0,0.9333333333333333,False
142227,0.0,0,0.6833333333333333,False
237253,0.0,0,0.8333333333333334,False
272359,0.0,0,0.7833333333333333,True
177334,0.0,0,0.0,True
68871,0.0,0,0.0,True
90662,0.0,0,0.8166666666666667,False
7677,0.0,0,0.5,False
117312,0.0,0,0.9166666666666666,False
110768,0.0,0,0.05,False
12679,0.0,0,0.8333333333333334,False
389543,0.0,0,0.95,False
79651,0.0,0,0.1,False
450322,0.0,0,0.8166666666666667,False
128339,0.0,0,0.4166666666666667,False
12937,0.0,0,0.8333333333333334,False
316906,0.0,0,0.1,False
325018,0.0,0,0.08333333333333333,False
135613,0.0,0,0.7166666666666667,False
402054,0.0,0,0.6333333333333333,True
107875,0.0,0,0.06666666666666667,False
383035,0.0,0,0.0,False
171158,0.0,0,0.18333333333333332,False
141891,0.0,0,0.6,False
414258,0.0,0,0.0,False
306345,0.0,0,0.9333333333333333,False
20563,0.0,0,0.6833333333333333,False
164836,0.0,0,0.1,False
107710,0.0,0,0.65,False
285541,0.0,0,0.9666666666666667,False
118671,0.0,0,0.45,False
336424,0.0,0,0.26666666666666666,False
389669,0.0,0,0.03333333333333333,False
443818,0.0,0,0.8833333333333333,False
190679,0.0,0,0.7166666666666667,True
337197,0.0,0,0.03333333333333333,False
174603,0.0,0,0.8333333333333334,False
77289,0.0,0,0.7166666666666667,False
352954,0.0,0,0.21666666666666667,False
67449,0.0,0,0.5833333333333334,False
434983,0.0,0,0.15,True
134074,0.0,0,0.8666666666666667,False
169118,0.0,0,0.18333333333333332,False
70200,0.0,0,0.95,False
100012,0.0,0,0.9833333333333333,False
177752,0.0,0,0.9166666666666666,False
118324,0.0,0,0.9833333333333333,False
273081,0.0,0,0.9666666666666667,False
84177,0.0,0,0.8333333333333334,False
134632,0.0,0,0.9833333333333333,False
90615,0.0,0,0.7666666666666667,False
126274,0.0,0,0.6,False
141889,0.0,0,0.9833333333333333,False
44127,0.0,0,0.6833333333333333,False
446307,0.0,0,0.11666666666666667,False
