INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment,market_level,market,market_growth,peer_share_2023,share_change_3m,share_change_6m,share_change_12m,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model,opportunity_probability,predicted_share_change_6m,holdout_WAPE,holdout_bias,relative_growth,cluster,PC1,PC2,archetype,action,reason,supply_watch
ACIDUM ACETYLSALICYLICUM*,23434163.21,23307464.42,22352905.15,True,-0.040955088584449,-0.0117401964408809,0.0263354489787278,59,20,7,1,12,0.0,2050573.6025,0.3404935208672243,1.0,0.1159358377525589,0,0,0,0.6967870364024819,0.0129773155311997,0.645426098112757,Seasonal,,,,,,,,22352905.15,21244309.61988152,14989604.572270695,25059219.31355257,-0.0495951431225252,Damped ETS,,,0.0927413387655436,-0.0243968971240419,,4.0,5.9481261372164465,2.5600536713929336,Mature Leaders,Monitor,跨多个ATC3或不足3个同类INN，竞争份额不适用,False
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,1540.9299999999998,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1,0.8333333333333334,25.682166666666664,2.3158493369784163,6.0,0.0605263585972282,0,50,0,0.0468448707503674,0.4256216628934777,,Potential discontinued,ATC4,N02B A Salicylic acid and derivatives,-0.0654431270374384,0.0,0.0,0.0,0.0,0.0,187.80045804106564,181.5354434943964,189.0611969092971,,Damped ETS,0.0111529846188828,0.0,,,,1.0,-3.3344011892902308,-0.8784341255871723,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,52565.28999999999,58639.12,63299.93000000001,True,0.0794829458559405,0.0475530876124095,7.45778710053732e-05,3,1,0,1,1,0.0,4821.949,0.1642468267967246,1.0,0.0269770201127932,0,0,0,0.3202672568019201,0.2513326525752077,-0.0107512059044512,Stable,ATC4,C10B X Lipid modifying agents in combination with other drugs,0.3631401200960096,0.245381349981139,-0.0249078042203295,-0.0413713901695184,-0.0644791847931168,63299.93000000001,59436.01293050029,34538.03382721607,76758.52223696241,-0.0610414114122987,Damped ETS,0.4714955136269921,0.0,0.0950719134619978,-0.0818872377898376,-0.2836571742400691,3.0,0.2389551327134242,-1.2227570280238125,Emerging / Mixed,At Risk,同类份额与预测销量同时下降，核查原因,False
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,199.63,0.0,0.0,True,,-1.0,0.0,2,1,0,1,1,0.9333333333333332,3.3271666666666664,4.703281310179032,15.0,0.541390338845293,0,56,0,0.1268559105476253,0.1617690617140507,,Potential discontinued,ATC4,"C07F X Beta blocking agents, other combinations",-0.0254039801226156,0.0,0.0,0.0,0.0,0.0,28.50897257802708,22.243958031357828,29.769711446258537,,Damped ETS,0.0103406118896464,0.0,,,,1.0,-3.983431887272845,-0.6371507258188231,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,10432.2,4770.45,4580.240000000001,True,-0.0398725487113372,-0.1859931066853531,5.396286344924088e-06,1,1,0,1,1,0.0,694.3205,0.4546607038313199,1.0,0.2067163556083912,0,0,0,0.1100626543611118,0.2349934646203567,0.1939919296397227,Stable,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,-0.0556634427334616,0.0003301370269112,4.481090108025842e-05,0.0001111341621653,5.429652904660883e-06,4580.240000000001,3542.6142942670635,0.0,9317.100888095523,-0.2265439596468607,Damped ETS,0.0307078620236543,0.0,0.7525537331657071,-0.7525537331657071,0.0157908940221244,3.0,-0.5370026772562043,-0.781113681779267,Emerging / Mixed,Monitor,常规跟踪销量与生命周期信号,False
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,53666634.24999999,39075452.8,36139314.25,True,-0.0751402310045655,-0.0941237217877827,0.0425781373906597,39,8,0,1,8,0.0,3754783.0406666654,0.1770559702248303,1.0,0.031348816592256,0,0,0,0.3297297532851232,0.7483318186269894,0.503583037773319,Stable,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,-0.0421994554158908,0.3714275270599073,-0.0330260903297875,-0.0418986710941028,-0.0132291523823404,36139314.25,33655927.21349222,23543561.516961325,39823725.95507768,-0.0687170492314412,Damped ETS,0.652023549572311,0.0,0.0718934012562241,0.0013410213718418,-0.032940775588674705,4.0,2.649040897149717,0.06271390854217429,Mature Leaders,Defend,已知INN规模位于前25%，但同类份额下降,False
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,1969.43,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1,0.5666666666666667,59.683,1.367050485191692,2.3076923076923075,0.2431583792605643,0,28,6,0.1165778306780739,0.7810603931074995,0.6683763306998275,Potential discontinued,ATC4,N02B A Salicylic acid and derivatives,-0.0654431270374384,0.0,0.0,0.0,0.0,0.0,9.01420422975358,2.7491896830843325,10.27494309798504,,Damped ETS,0.0110823853091872,0.0,,,,1.0,-2.6173473600127006,-1.049156359932936,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,0.0,29339.329999999994,55833.780000000006,True,0.9030352772200324,,6.578150153692724e-05,5,2,0,1,2,0.5666666666666667,1422.5561666666665,1.469222651093259,2.3076923076923075,0.3687332526770511,34,0,0,0.0601018966232339,0.7938289201706963,0.7917699842042525,Intermittent,ATC4,C10B X Lipid modifying agents in combination with other drugs,0.3631401200960096,0.2164389172460367,0.0491423178187636,0.0630425533264737,0.0614041813271081,55833.780000000006,93206.33506488136,71245.0424110448,108485.67540009118,0.6693538403611816,Damped ETS,0.3264573612170183,0.0,0.3555221413915349,0.3304507483909939,0.5398951571240228,3.0,-1.6314283867847093,1.1363130943285293,Emerging / Mixed,Monitor,常规跟踪销量与生命周期信号,False
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,336777.75,318687.53,298761.6,True,-0.0625249754830381,-0.0295004320675869,0.0003519909748108,3,2,0,1,2,0.0,29890.92583333333,0.2916855249673102,1.0,0.0850804454754553,0,0,0,0.4144194527357766,0.0733177514315505,0.2673024423010013,Stable,ATC4,N02B A Salicylic acid and derivatives,-0.0654431270374384,0.0061642625698559,0.0030157319014844,-0.0006140491072719,1.918798040430412e-05,298761.6,258544.7926913452,141031.8653679855,340303.1863643479,-0.1346117014658335,Damped ETS,0.1138757768595657,0.0,0.1888481411547578,-0.1888481411547578,0.0029181515544002973,3.0,0.5123867405073841,-0.6370107907298999,Emerging / Mixed,Monitor,常规跟踪销量与生命周期信号,False
ACIDUM ADENOSINTRIPHOSPHORICUM*,434772.58,281253.33,270805.63,True,-0.0371469379580323,-0.1116197690921441,0.0003190541812869,7,2,2,2,2,0.0,28941.769666666663,0.2290253931235366,1.0,0.0524526306953904,0,0,0,0.5889528802400965,0.7774329629761138,0.6619938010650929,Seasonal,ATC4,C01E B Other cardiac preparations,-0.2538629856492603,0.0239306588898378,0.0005108562150022,1.5778825103330424e-05,0.0053862401416204,270805.63,232793.96694865028,126277.0574229728,306901.9959135691,-0.140365113721416,Damped ETS,0.1931304264401648,0.0,0.2561659994327055,-0.2561659994327055,0.216716047691228,3.0,1.7155489021056431,-0.12837251097777996,Emerging / Mixed,Monitor,常规跟踪销量与生命周期信号,False
