INN,SKU_A,SKU_B,diff_log_correlation,same_form,strength_A,strength_B
COCARBOXYLASUM,7429,298298,-0.2916845192935338,True,50.0,50.0
CODEINUM*+CHLORPHENAMINUM,134617,35975,-0.36391766789655056,True,,
CODEINUM*+COFFEINUM*+METAMIZOLUM NATRICUM+PARACETAMOLUM+PHENOBARBITALUM,230101,166742,-0.24376706674616014,True,,
CRATAEGUS L.*&,17031,500173,-0.3619960192684879,True,,
CRATAEGUS L.+LEONURUS CARDIACA/QUINQUELOBATUS GILIB.+TAURINUM,154460,240771,-0.8756981334703123,True,,
CRIDANIMODUM,237253,107805,-0.2025873336035138,False,250.0,150.0
CYNARA SCOLYMUS*&,88541,111746,-0.26878802855496137,True,200.0,200.0
CYNARA SCOLYMUS*&,111746,274974,-0.20471790962473524,True,200.0,400.0
DAPOXETINE,326780,326778,-0.21996951405667758,True,60.0,30.0
DAPOXETINE,326778,501113,-0.22859502022747802,True,30.0,60.0
DENOSUMAB,240822,411711,-0.20223412240733923,True,,
DENOSUMAB,179692,411711,-0.37669229896879364,True,,
DENOSUMAB,179692,179689,-0.20736702964845877,True,,
DENOSUMAB,179694,411711,-0.28525739716348486,True,,
DENOSUMAB,179694,179689,-0.26060128876112615,True,,
DEXAMETHASONUM+TOBRAMYCINUM,762622,70333,-0.4346784573976957,True,,
DEXAMETHASONUM+TOBRAMYCINUM,603038,486,-0.22362790836688962,True,,
DEXAMETHASONUM+TOBRAMYCINUM,257703,486,-0.21429332979657612,True,,
DEXKETOPROFENUM,307581,365035,-0.4011821095105372,False,25.0,25.0
DEXLANSOPRAZOLUM,289638,289640,-0.2395837610336612,True,30.0,60.0
DEXLANSOPRAZOLUM,289642,289636,-0.27032328243230513,True,60.0,30.0
DEXLANSOPRAZOLUM,289642,289640,-0.4597720957192456,True,60.0,60.0
DEXMEDETOMIDINE,754724,877415,-0.6512478803610254,True,,
DEXTRANUM+NATRII CHLORIDUM*,128865,13614,-0.4914975088490919,True,,
DEXTRANUM+NATRII CHLORIDUM*,21329,41195,-0.2223218370980478,True,,
DEXTROSUM*+KALII CHLORIDUM*+NATRII CHLORIDUM*+SODIUM CITRAS*,745481,421503,-0.23313058628245745,True,,
DIACEREINUM,145639,93895,-0.324268607147078,True,50.0,50.0
DIACEREINUM,145639,188791,-0.2109212494690814,True,50.0,50.0
DIAZEPAMUM,389579,85510,-0.33735255477628556,True,5.0,5.0
DICLOFENACUM,62632,136696,-0.386731771158596,True,25.0,50.0
DICLOFENACUM+PARACETAMOLUM,257426,257427,-0.2484567828497109,True,,
DICYCLOVERINUM+SIMETICONUM,134021,132862,-0.2984345738051156,True,,
DICYCLOVERINUM+SIMETICONUM,134021,436942,-0.3251824940877735,True,,
DIGOXINUM,188851,7417,-0.20132319009759272,True,0.1,0.1
DIOXYDINUM*+LIDOCAINUM,110186,21883,-0.28731453313469396,True,,
DIOXYDINUM*+LIDOCAINUM,50506,21883,-0.46428997257924803,True,,
DIOXYDINUM*+LIDOCAINUM,21882,21881,-0.5123775550004709,True,,
DIPHENHYDRAMINUM,111780,37689,-0.24188555507406093,False,,
DIPHENHYDRAMINUM,111779,37689,-0.3210988756983569,False,,
DIPHENHYDRAMINUM,9689,37689,-0.32526346019629265,False,,
DIPYRIDAMOLUM,106110,24034,-0.26436267301297683,True,75.0,75.0
DIPYRIDAMOLUM,106110,4937,-0.2948471987630845,False,75.0,
DIPYRIDAMOLUM,246742,24034,-0.2599495106243628,False,,75.0
DIPYRIDAMOLUM,246742,4937,-0.28961307260515073,True,,
DISODIUM FOSFAS*+SODIUM DIHYDROPHOSPHAS,129429,427253,-0.3265910655109972,True,,
DOCETAXELUM,783293,240817,-0.4484347471682969,True,80.0,20.0
DOCUSATUM NATRICUM,724,753280,-0.2187679857807562,True,,
DOMPERIDONUM+OMEPRAZOLUM,173926,132919,-0.21485829530532763,True,,
DONEPEZILUM,109085,188959,-0.2333366888373175,True,10.0,10.0
DONEPEZILUM,109085,123754,-0.20918270713879933,True,10.0,10.0
DORZOLAMIDUM+TIMOLOLUM,568322,438298,-0.21638118092280922,True,,
DOXORUBICINUM,327544,135594,-0.3500929020661461,True,,10.0
DOXORUBICINUM,135594,410521,-0.24500086113937436,True,10.0,
DOXORUBICINUM,410521,64184,-0.2621618086740208,True,,100.0
DOXORUBICINUM,410519,64184,-0.2247701830985248,True,,100.0
DROSPIRENON+ETHINYLESTRADIOLUM,190317,174096,-0.2966244066382932,True,,
DROSPIRENON+ETHINYLESTRADIOLUM,190317,389772,-0.25800798842352846,True,,
DROSPIRENON+ETHINYLESTRADIOLUM,190317,89338,-0.3299421440624157,True,,
DROSPIRENON+ETHINYLESTRADIOLUM,190317,35678,-0.26843161784028385,True,,
DROTAVERINUM+PARACETAMOLUM,153531,153529,-0.247498355431414,True,,
DULOXETINUM,635208,417333,-0.3065521706945048,True,30.0,30.0
DUTASTERIDUM+TAMSULOSINUM,601966,190524,-0.23449845643958883,True,,
DUTASTERIDUM+TAMSULOSINUM,857847,713864,-0.27639558872878744,True,,
DUTASTERIDUM+TAMSULOSINUM,680597,841005,-0.2712452909676805,True,,
DUTASTERIDUM+TAMSULOSINUM,841005,713864,-0.5715091187933281,True,,
EBASTINUM,641189,530243,-0.7327146473181819,True,10.0,10.0
ECONAZOLUM,17790,283702,-0.20789800456598367,True,,150.0
ELEUTHEROCOCCUS SENTICOSUS*&,-769545,769545,-0.2964501198269411,True,,
ELTROMBOPAG,872004,142142,-0.3172836249332946,True,25.0,50.0
ELTROMBOPAG,872006,142142,-0.3224729509210302,True,50.0,50.0
EPINEPHRINUM,872000,390525,-0.24585871607114565,True,,
EPINEPHRINUM,390525,5926,-0.23630119793056997,True,,
EPIRUBICINUM,117828,82104,-0.30266775944461993,True,,50.0
EPIRUBICINUM,410514,325842,-0.21973279590174993,True,,50.0
EPOETINUM ALFA,84253,448939,-0.3120827434347583,True,,
EPOETINUM ALFA,448939,309243,-0.21754592042503224,True,,
EPOETINUM ALFA,448939,309242,-0.3846759640402012,True,,
ESMOLOLUM,530432,434921,-0.3343962047163711,True,,
ESMOLOLUM,434921,530431,-0.20954874199636608,True,,
ESOMEPRAZOLUM,412404,597014,-0.32008229796429144,False,20.0,40.0
ESOMEPRAZOLUM,597014,412410,-0.2881883473666684,False,40.0,40.0
ETHAMBUTOLUM,641192,85624,-0.2686615784526971,True,,
ETHAMBUTOLUM,85624,23573,-0.5571056022233967,False,,400.0
ETOPOSIDUM,8321,42593,-0.4166724759262229,True,,100.0
ETOPOSIDUM,8321,42594,-0.20274623804389866,True,,200.0
EXEMESTANUM,502479,889820,-0.23236430102091973,True,25.0,25.0
EXEMESTANUM,292545,889820,-0.24322848035489586,True,25.0,25.0
EXEMESTANUM,292545,325046,-0.23879750887897777,True,25.0,25.0
FEBUXOSTATUM,815478,171410,-0.24631866260842833,True,80.0,80.0
FEBUXOSTATUM,553307,171410,-0.27074505153483747,True,80.0,80.0
FEBUXOSTATUM,171419,171410,-0.56211732720063,True,120.0,80.0
FENOFIBRATUM,97894,308733,-0.5023357664346341,True,145.0,145.0
FERRI SACCHARAS*,44264,236987,-0.31709143794830896,True,,
FERRI SACCHARAS*,378921,236987,-0.40992630159622184,True,,
FERRICUM CARBOXYMALTOSUM,188118,188117,-0.3321043246768915,True,,
FILGRASTIMUM,146511,309742,-0.20032739729473037,True,0.3,0.3
FINGOLIMODUM,511242,586928,-0.36461261233485087,True,0.5,0.5
FLUOROURACILUM,13834,3762,-0.2825854000974106,True,1000.0,250.0
FLUOROURACILUM,13834,110305,-0.2825854000974106,True,1000.0,
FLUOROURACILUM,465857,110308,-0.25297649699717206,True,,
FLUOROURACILUM,465855,110308,-0.22052258706857422,True,,
FLUOXETINUM,10229,816101,-0.24932269270868565,True,20.0,20.0
FLURBIPROFENUM,795228,95459,-0.5246529616199703,True,8.75,8.75
FLUTAMIDUM,33977,21030,-0.22988837560126021,True,250.0,250.0
FLUTAMIDUM,299605,874865,-0.3173307390162306,True,125.0,125.0
FOLLITROPIN DELTA,596660,596647,-0.29909766915121433,True,,
FOLLITROPINUM ALFA,519734,519731,-0.5569761844087444,True,,
FOLLITROPINUM ALFA,519731,108575,-0.2015589867339286,True,,
FOLLITROPINUM ALFA,519737,108574,-0.28289505355993244,True,,
FOLLITROPINUM ALFA,519737,108575,-0.2636982160671858,True,,
FOLLITROPINUM ALFA,519737,108573,-0.2703466005293082,True,,
FOLLITROPINUM ALFA,519737,109364,-0.262109728625174,True,,
FOLLITROPINUM ALFA,519728,108574,-0.2370269435586962,True,,
FORMALDEHYDUM*,117774,7185,-0.4999539552469011,True,,
FOSFOMYCINUM,587161,324191,-0.21209824135323335,True,,
FOSFOMYCINUM,380043,41122,-0.3088053349224563,True,3000.0,
FOSFOMYCINUM,324191,41122,-0.5576165863288545,True,,
FOSFOMYCINUM,233767,446273,-0.38606545234912193,True,,
FOSFOMYCINUM,233767,41122,-0.3345062337230468,True,,
FOSFOMYCINUM,389638,41122,-0.3998470251913618,True,,
FOSFOMYCINUM,446273,41122,-0.24839786448537385,True,,
FOSFRUCTOSUM,317313,317314,-0.25536433935768466,True,,5000.0
FRANGULA ALNUS*&,20593,84788,-0.22132528303471932,True,,
FURAZIDINUM*,100089,-122420,-0.32961313982608126,True,25.0,50.0
GABAPENTINUM,799442,63155,-0.2566007688125155,True,300.0,300.0
GEMCITABINUM,238339,238340,-0.20300958161792762,True,1000.0,2000.0
