anchor,base_rate,Precision@10,Lift@10,Precision@20,Lift@20,NDCG@20,model,split
2023-01-01,0.25048669695003245,0.25161290322580643,1.0044960722045795,0.26537216828478966,1.0594261951473078,0.25048669695003245,Base rate,test
2023-02-01,0.2503250975292588,0.23376623376623376,0.9338505650193961,0.2564935064935065,1.0246415921740597,0.25032509752925874,Base rate,test
2023-03-01,0.2503250975292588,0.2077922077922078,0.8300893911283521,0.2305194805194805,0.9208804182830156,0.25032509752925874,Base rate,test
2023-04-01,0.25,0.18831168831168832,0.7532467532467533,0.237012987012987,0.948051948051948,0.24999999999999997,Base rate,test
2023-05-01,0.2503225806451613,0.21935483870967742,0.8762886597938145,0.23870967741935484,0.9536082474226805,0.2503225806451612,Base rate,test
2023-06-01,0.2503242542153048,0.22580645161290322,0.9020558248370383,0.24271844660194175,0.9696161778761507,0.2503242542153048,Base rate,test
2023-01-01,0.25048669695003245,0.5032258064516129,2.008992144409159,0.47896440129449835,1.9121350839244091,0.48941278542349337,Logistic L2,test
2023-02-01,0.2503250975292588,0.5194805194805194,2.07522347782088,0.5162337662337663,2.0622533310845,0.5279521976500916,Logistic L2,test
2023-03-01,0.2503250975292588,0.5064935064935064,2.023342890875358,0.45454545454545453,1.8158205430932701,0.4575943349327022,Logistic L2,test
2023-04-01,0.25,0.474025974025974,1.896103896103896,0.4577922077922078,1.8311688311688312,0.4748657163725122,Logistic L2,test
2023-05-01,0.2503225806451613,0.5032258064516129,2.0103092783505154,0.46774193548387094,1.8685567010309279,0.48817780514105213,Logistic L2,test
2023-06-01,0.2503242542153048,0.5806451612903226,2.3195721210095273,0.5145631067961165,2.0555862970974395,0.5277598469114183,Logistic L2,test
2023-01-01,0.25048669695003245,0.49032258064516127,1.9574795253217447,0.47572815533980584,1.8992152522762715,0.48660062766568213,Elastic Net,test
2023-02-01,0.2503250975292588,0.5194805194805194,2.07522347782088,0.5162337662337663,2.0622533310845,0.5276428339200661,Elastic Net,test
2023-03-01,0.2503250975292588,0.5,1.9974025974025973,0.461038961038961,1.8417608365660312,0.46191573004883907,Elastic Net,test
2023-04-01,0.25,0.4805194805194805,1.922077922077922,0.45454545454545453,1.8181818181818181,0.47211408994043236,Elastic Net,test
2023-05-01,0.2503225806451613,0.5032258064516129,2.0103092783505154,0.46774193548387094,1.8685567010309279,0.488561350532539,Elastic Net,test
2023-06-01,0.2503242542153048,0.5741935483870968,2.2937990974427547,0.517799352750809,2.0685145128024547,0.5301210853128585,Elastic Net,test
2023-01-01,0.25048669695003245,0.6258064516129033,2.4983620257395955,0.5760517799352751,2.2997300333685464,0.6102786219406872,Random Forest,test
2023-02-01,0.2503250975292588,0.6688311688311688,2.671850227694383,0.5941558441558441,2.3735368527576317,0.6107899320033756,Random Forest,test
2023-03-01,0.2503250975292588,0.564935064935065,2.2568055321302074,0.5227272727272727,2.0881936245572605,0.5376665190730127,Random Forest,test
2023-04-01,0.25,0.525974025974026,2.103896103896104,0.5097402597402597,2.038961038961039,0.528294796836122,Random Forest,test
2023-05-01,0.2503225806451613,0.5806451612903226,2.3195876288659796,0.5290322580645161,2.11340206185567,0.5654265652525449,Random Forest,test
2023-06-01,0.2503242542153048,0.6903225806451613,2.7577135216446598,0.598705501618123,2.391719905427838,0.6440461494638086,Random Forest,test
2023-01-01,0.25048669695003245,0.6258064516129033,2.4983620257395955,0.5501618122977346,2.196371380183443,0.5845525536565888,Gradient Boosting,test
2023-02-01,0.2503250975292588,0.6688311688311688,2.671850227694383,0.5941558441558441,2.3735368527576317,0.6248052746192536,Gradient Boosting,test
2023-03-01,0.2503250975292588,0.577922077922078,2.3086861190757295,0.5032467532467533,2.010372744138978,0.5258830949380262,Gradient Boosting,test
2023-04-01,0.25,0.538961038961039,2.155844155844156,0.5162337662337663,2.064935064935065,0.5288572781969855,Gradient Boosting,test
2023-05-01,0.2503225806451613,0.6258064516129033,2.5000000000000004,0.535483870967742,2.139175257731959,0.5681362319715627,Gradient Boosting,test
2023-06-01,0.2503242542153048,0.7483870967741936,2.9896707337456125,0.598705501618123,2.391719905427838,0.647920215277925,Gradient Boosting,test
