INN,SKU,start,end,duration,peer_count,focal_before_mean,peer_before_mean,peer_during_mean,peer_uplift,peer_seasonal_baseline,peer_uplift_vs_prior_year,apparent_absorption_ratio,potential_availability_event
ACIDUM BORICUM*,111856,2021-06-01,2022-04-01,11,18,0.4166666666666667,179451.48,159094.34818181818,-0.11344086890886514,192463.12000000002,-0.17337748560961624,-48857.1163636364,True
ACIDUM BORICUM*,111856,2022-07-01,2023-10-01,16,18,3.8266666666666667,176236.90666666665,163883.39937499998,-0.0700960288359578,167416.405,-0.021103102918737383,-3228.2684560104535,True
ACIDUM BORICUM*,20003,2019-11-01,2019-12-01,2,18,9.213333333333333,322053.54333333333,252270.385,-0.2166818523747961,,,-7574.148878437048,True
ACIDUM BORICUM*,586842,2020-12-01,2021-01-01,2,18,2.7266666666666666,167938.78666666665,152420.01,-0.09240734064292778,257691.005,-0.4085163740969538,-5691.4828850855665,True
ACIDUM BORICUM*,501064,2021-04-01,2021-05-01,2,18,32.64333333333334,157677.01,185909.77000000002,0.1790543846563301,244859.35499999998,-0.24074875554581104,864.8859389359749,True
ACIDUM BORICUM*,187583,2021-08-01,2021-08-01,1,18,0.9466666666666667,226468.54,199299.77,-0.1199670824035869,215765.71000000002,-0.0763139796402312,-28699.404929577486,True
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,149306,2022-03-01,2022-03-01,1,1,42.28666666666667,0.0,0.83,,138.46,-0.9940054889498772,0.019627936307740814,True
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,149306,2022-06-01,2022-07-01,2,1,2.3733333333333335,0.27666666666666667,0.0,-1.0,69.695,-1.0,-0.11657303370786516,True
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,150761,2021-11-01,2022-02-01,4,1,13.066666666666668,43.74666666666667,42.032500000000006,-0.03918393782383413,27.0,0.5567592592592595,-0.13118622448979567,True
ACIDUM CROMOGLICICUM,2076,2019-04-01,2019-04-01,1,5,8.033333333333333,12409.016666666668,19993.15,0.6111792366034912,,,944.0829875518672,True
ACIDUM FORMICUM*,-20549,2021-10-01,2021-12-01,3,7,1.7266666666666666,82432.92,78376.56999999999,-0.04920788927530416,85467.15666666666,-0.0829627068830768,-2349.237451737455,True
ACIDUM FUSIDICUM,136015,2019-04-01,2019-05-01,2,6,2.966666666666667,5130.4766666666665,4921.175,-0.040795754520535056,,,-70.55112359550549,True
ACIDUM FUSIDICUM,136015,2019-08-01,2019-12-01,5,6,0.88,4699.866666666666,5430.661999999999,0.15549277993701954,,,830.4492424242426,True
ACIDUM FUSIDICUM,136015,2020-02-01,2020-04-01,3,6,0.3666666666666667,5484.240000000001,4306.92,-0.21467331845433468,5378.3,-0.19920420950858078,-3210.8727272727288,True
ACIDUM FUSIDICUM,136015,2020-07-01,2020-11-01,5,6,0.9233333333333333,3535.3633333333332,4285.204,0.21209720075918642,5299.01,-0.1913198880545612,812.1018050541514,True
ACIDUM FUSIDICUM,136015,2021-02-01,2021-06-01,5,6,0.7966666666666665,3935.1366666666668,2450.868,-0.37718351162729635,4077.1059999999998,-0.3988706695386384,-1863.098744769875,True
ACIDUM FUSIDICUM,136015,2021-08-01,2022-04-01,9,6,1.67,1507.5933333333335,1141.3944444444446,-0.24290296381134313,3765.182222222222,-0.6968554568998283,-219.28077178975383,True
ACIDUM FUSIDICUM,136015,2022-06-01,2022-06-01,1,6,0.3133333333333333,736.1733333333333,952.39,0.2937034756307392,1319.05,-0.27797278344262916,690.0531914893619,True
ACIDUM FUSIDICUM,136015,2022-09-01,2022-09-01,1,6,3.91,819.69,344.93,-0.5791945735582964,1124.49,-0.6932564985015429,-121.42199488491049,True
ACIDUM FUSIDICUM,136015,2022-11-01,2023-01-01,3,6,3.2733333333333334,388.4666666666667,85.93,-0.7787969795778273,1345.5266666666669,-0.9361365314201626,-92.42464358452139,True
ACIDUM FUSIDICUM,136015,2023-03-01,2023-07-01,5,6,1.4833333333333334,251.33666666666667,980.762,2.902184321162849,802.212,0.22257208817619278,491.747415730337,True
ACIDUM FUSIDICUM,129887,2022-07-01,2022-07-01,1,6,6.846666666666667,855.7966666666666,856.58,0.0009153264599458011,1326.56,-0.3542847666144011,0.11441090555015823,True
