INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,ATC3,B03A IRON PREPARATIONS,1078604.6300000001,1422195.19,0.3185509782208147,0.03191046009138677,0.04769106271551938,0.01578060262413261,0.0013581279679187944,-0.0006904235625214208
ACIDUM FOLICUM+FERRI SULFAS*,ATC3,B03A IRON PREPARATIONS,1078604.6300000001,1422195.19,0.3185509782208147,0.13323400994486737,0.07907473656973907,-0.0541592733751283,-0.05385050492033575,0.019850117880210544
ACIDUM FORMICUM*,ATC4,M02A X Other topical products for joint and muscular pain,10598498.84,10621141.750000002,0.002136426143157566,0.060640334985402534,0.051355972158078,-0.009284362827324533,-0.006175980702595896,-0.0014391317518717972
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,ATC4,M02A X Other topical products for joint and muscular pain,10598498.84,10621141.750000002,0.002136426143157566,0.0036306028411095246,0.0032305914757234074,-0.0004000113653861172,0.0005360880367451166,-0.0011970140563531254
ACIDUM FUSIDICUM+BETAMETHASONUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",1638612.3800000004,1879188.55,0.14681700988979451,1.2266476346285137e-06,0.0,-1.2266476346285137e-06,0.0,0.0
ACIDUM GADOPENTETICUM,ATC4,V08C A Paramagnetic contrast media,5354.15,7525.03,0.40545744889478263,0.0,0.0,0.0,0.0,0.0
ACIDUM GADOTERICUM,ATC4,V08C A Paramagnetic contrast media,5354.15,7525.03,0.40545744889478263,0.929966474603812,0.7723464225391793,-0.1576200520646327,-0.02244091195404696,0.011731219853097219
ACIDUM GADOXETICUM,ATC4,V08C A Paramagnetic contrast media,5354.15,7525.03,0.40545744889478263,0.00013073970658274421,0.00022458382225718702,9.384411567444281e-05,-0.0006537186534169371,0.00035949568498818346
ACIDUM GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.020778314867795376,0.02180722915947091,0.0010289142916755332,-0.001334764842771445,0.0011207764204581513
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,4.567273717059798e-06,6.443037724226164e-07,-3.922969944637181e-06,0.0,-1.2581100863943741e-06
ACIDUM GLUTAMICUM,ATC4,A16A A Amino acids and derivates,707970.4400000001,893719.11,0.26236783275866693,0.0573982862900321,0.044944814931841395,-0.012453471358190707,-0.025063362641537825,-0.009065095165736954
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,ATC4,S01X A Other ophthalmologicals,3420095.9600000004,3696662.8100000005,0.08086523104456989,0.0,0.0,0.0,0.0,0.0
ACIDUM GLYCYRRHIZICUM,ATC4,G01A X Other antiinfectives and antiseptics,657961.5399999999,727061.9299999999,0.10502192878933325,0.0071877453505869065,0.01000872099024632,0.002820975639659413,-0.001476399465878242,-0.0002823077961050906
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,ATC4,A05B A Liver therapy,5083958.21,5400991.069999999,0.06235945436695456,0.0014351770212525014,0.001401285412604839,-3.389160864766252e-05,-0.00017429114180670833,0.0004592175779189894
