INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m,sales_2022,sales_2023,delta_sales,market_effect,share_effect,interaction,reconciliation_error,growth_type
ACIDUM AZELAICUM,ATC3,D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE,818125.7400000001,924034.96,0.129453474963396,0.14079108426536,0.17976104497171838,0.038969960706358386,-0.019648849950080954,0.024272676883503597,115184.81000000003,166105.49,50920.679999999964,14911.07391749853,31882.327940660383,4127.2781418410605,-7.275957614183426e-12,Share-led Growth
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,ATC4,D03A X Other cicatrizants,7400679.880000001,7192421.180000001,-0.028140482141757017,0.00016770891595435414,0.00026779994549763005,0.00010009102954327591,4.960557024729219e-06,-3.51458611688174e-05,1241.1599999999999,1926.13,684.9700000000003,-34.92684081506308,740.7416685094076,-20.844827694344254,0.0,Share-led Growth
ACIDUM BORICUM*,ATC3,D08A ANTISEPTICS AND DISINFECTANTS,37097394.21,33376875.380000006,-0.10029057051659673,0.05183524613924628,0.056074142312359236,0.0042388961731129535,-0.014779930753106053,-0.002778751728804457,1922952.56,1871579.6599999997,-51372.90000000037,-192854.00931875032,157252.00234923165,-15770.89303048166,-4.3655745685100555e-11,Share-led Growth
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,ATC4,D03A X Other cicatrizants,7400679.880000001,7192421.180000001,-0.028140482141757017,0.004892658591794136,0.005535733934869481,0.0006430753430753449,0.0002352462621373324,0.0004358994309685213,36209.0,39815.329999999994,3606.3299999999945,-1018.9387178708782,4759.194752821803,-133.92603495092547,-5.002220859751105e-12,Share-led Growth
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,ATC4,G01A X Other antiinfectives and antiseptics,657961.5399999999,727061.9299999999,0.10502192878933325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM BORICUM*+ZINCI SULFAS*,ATC4,S01A X Other antiinfectives,356293.7700000001,381964.72,0.07204995473257902,0.014190116206634762,0.002077286090715394,-0.012112830115919368,-1.5890482792593444e-06,-0.0041923146327714905,5055.849999999999,793.45,-4262.4,364.27376363470916,-4315.725907370449,-310.94785626425903,-9.094947017729282e-13,Defend
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,ATC4,G04B C Urinary concrement solvents,415413.95,356796.13,-0.14110700904483353,0.06811470823259547,0.11902446923961872,0.050909761007023255,-0.008931666429980056,0.04454203998171169,28295.800000000003,42467.47,14171.669999999998,-3992.7357065307997,21148.62491348351,-2984.219206952708,-3.637978807091713e-12,Share-led Growth
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,ATC4,A06A B Contact laxatives,5755226.85,6197728.3,0.07688688239977903,1.619223749625091e-05,0.0,-1.619223749625091e-05,0.0,0.0,93.19,0.0,-93.19,7.1650885708354,-93.19000000000001,-7.1650885708354,1.4210854715202004e-14,Defend
ACIDUM CLODRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM ETACRYNICUM,ATC3,C03C HIGH-CEILING DIURETICS,2477991.3400000003,2705757.1900000004,0.09191551492669858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
