INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth
UNKNOWN_SKU_36733,3478.9799999999996,3447.2400000000002,2869.4700000000003,False,-0.1676036481359,-0.0470119844558603,3.380714062618841e-06,1,1,1,1,1
UNKNOWN_SKU_36736,9234.84,3354.77,3177.34,False,-0.05288887166631384,-0.234123791372011,3.7434362511966835e-06,1,1,1,1,1
UNKNOWN_SKU_36737,82.3,356.38,192.24,False,-0.46057578988719905,0.23626331075255314,2.264907705596664e-07,1,1,1,1,1
UNKNOWN_SKU_36799,1447.49,0.0,0.0,False,,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_372801,49394.87,75304.54999999999,97561.62,False,0.2955607596088152,0.1854938056704969,0.0001149438539890208,1,1,1,1,1
UNKNOWN_SKU_374962,250594.2,96878.03,64307.69000000001,False,-0.3361994458392681,-0.2882573784439071,7.576518030072906e-05,1,1,0,1,0
UNKNOWN_SKU_37509,48624.17,11.28,0.0,False,-1.0,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_378920,1.23,0.41000000000000003,19.84,False,47.39024390243902,1.0040527056836193,2.337482775646994e-08,1,1,0,1,0
UNKNOWN_SKU_38120,43.080000000000005,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_38270,9011.910000000002,2826.92,705.5400000000001,False,-0.7504209528391323,-0.4710358992688558,8.312437487550304e-07,1,1,0,1,1
UNKNOWN_SKU_382754,274.62,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_382756,351.77,1187.26,1465.6000000000001,False,0.23443896029513356,0.42869381425012665,1.7267211471714893e-06,1,1,0,1,1
UNKNOWN_SKU_382759,503.74,658.33,2055.46,False,2.1222335302963558,0.42126692004128774,2.421674569572263e-06,1,1,0,1,1
UNKNOWN_SKU_382879,18007.499999999996,6418.120000000001,2791.3199999999997,False,-0.5650875957445484,-0.37253565724678517,3.288640333326092e-06,1,1,0,1,0
UNKNOWN_SKU_38402,45416.45999999999,28468.92,22859.539999999997,False,-0.19703522297298248,-0.15770630124028862,2.6932349298998728e-05,1,1,0,1,0
UNKNOWN_SKU_3903,72687.47,2477.88,0.0,False,-1.0,-1.0,0.0,1,1,1,1,1
UNKNOWN_SKU_390891,0.0,0.0,241.32,False,,,2.8431519325561117e-07,1,1,0,1,1
UNKNOWN_SKU_390895,0.0,21.56,513.71,False,22.826994434137294,,6.052360265512184e-07,1,1,0,1,1
UNKNOWN_SKU_391094,17406.86,15766.16,12749.55,False,-0.19133447840184292,-0.07488951109045716,1.5021095525327686e-05,1,1,1,1,1
UNKNOWN_SKU_392696,68116.47,31994.100000000002,27120.370000000003,False,-0.15233214873992384,-0.2056518851538076,3.1952317411377755e-05,1,1,0,1,0
UNKNOWN_SKU_39426,19.05,26.799999999999997,1.3900000000000001,False,-0.948134328358209,-0.48026740424603165,1.6376517430188115e-09,1,1,0,1,1
UNKNOWN_SKU_3946,34810.67999999999,19166.760000000002,16341.86,False,-0.14738536925385415,-0.1722537066535048,1.9253435620985173e-05,1,1,0,1,1
UNKNOWN_SKU_39955,6200.27,4365.490000000001,4816.239999999999,False,0.10325301398010267,-0.06119719270614532,5.674333691220804e-06,1,1,0,1,1
UNKNOWN_SKU_40096,97444.98,51386.420000000006,55665.42999999999,False,0.08327122224120664,-0.13062624709129889,6.558315716934649e-05,1,1,0,1,1
UNKNOWN_SKU_40097,69111.54000000001,43154.57,38381.86,False,-0.11059570284213238,-0.13673554004798183,4.5220230164966903e-05,1,1,0,1,1
UNKNOWN_SKU_402052,17794.57,11249.13,12565.210000000001,False,0.11699393641997213,-0.08331407457688378,1.4803912271868633e-05,1,1,0,1,1
UNKNOWN_SKU_402053,20135.1,11634.55,12842.23,False,0.1038011783867876,-0.10634135036224501,1.5130288017085229e-05,1,1,0,1,1
UNKNOWN_SKU_402054,27.06,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_404672,0.0,1813.8999999999999,5873.35,False,2.237967914438503,,6.9197855142874355e-06,1,1,0,1,1
UNKNOWN_SKU_40483,179.74,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_40554,40594.71,38407.030000000006,39865.72,False,0.037979765683521904,-0.004519992896942937,4.696846463647474e-05,1,1,0,1,0
UNKNOWN_SKU_406440,22.18,0.0,29.630000000000003,False,,0.0750843191430739,3.4909079960897396e-08,1,1,0,1,1
UNKNOWN_SKU_40701,211926.27,122815.54,90230.01000000001,False,-0.2653209032016631,-0.19222287069892452,0.00010630599507129841,1,1,0,1,1
UNKNOWN_SKU_407977,7.87,49.23,79.87,False,0.6223847247613246,0.784852114223654,9.410017605389385e-08,1,1,0,1,0
UNKNOWN_SKU_408131,23317.47,8613.380000000001,6960.900000000001,False,-0.19185035375195336,-0.2608271750945994,8.201100732359457e-06,1,1,0,1,1
UNKNOWN_SKU_411685,391.42,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_41217,8099.24,2715.89,1657.1799999999998,False,-0.3898206481116687,-0.3274395054826841,1.952434327694902e-06,1,1,0,1,1
UNKNOWN_SKU_412540,126.19000000000001,0.0,0.0,False,,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_412543,5097.5,0.0,0.0,False,,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_412544,1.01,0.0,0.0,False,,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_412545,81.75999999999999,0.0,0.0,False,,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_414261,0.0,0.0,1570.38,False,,,1.850169456260346e-06,1,1,0,1,1
UNKNOWN_SKU_414264,0.0,10.05,1.3,False,-0.8706467661691543,,1.5316167380751473e-09,1,1,0,1,1
UNKNOWN_SKU_41608,48698.99,27328.079999999998,24734.449999999997,False,-0.0949071431289722,-0.15579955666503809,2.9141305866986786e-05,1,1,0,1,1
UNKNOWN_SKU_421650,1928.3400000000001,945.6299999999999,19.189999999999998,False,-0.9797066505927265,-0.6841558472454438,2.2609019387432364e-08,1,1,0,1,1
UNKNOWN_SKU_421651,0.0,0.0,0.0,False,,,0.0,1,1,0,1,1
UNKNOWN_SKU_421652,1118.47,952.51,19.65,False,-0.9793702953249834,-0.6359302850714056,2.315097607936665e-08,1,1,0,1,1
UNKNOWN_SKU_421653,417.34999999999997,302.34,10.17,False,-0.966362373486803,-0.6049017248030242,1.1981955558634036e-08,1,1,0,1,1
UNKNOWN_SKU_421654,22.83,9.3,1.3199999999999998,False,-0.8580645161290323,-0.5096377773061167,1.5551800725070725e-09,1,1,0,1,1
UNKNOWN_SKU_421655,3.16,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_424280,1.7,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_4266,93594.1,57781.52,1041.94,False,-0.9819675910221815,-0.6751756638081211,1.2275790339000146e-06,1,1,0,1,1
UNKNOWN_SKU_4267,82683.83,33883.939999999995,1540.04,False,-0.9545495594668152,-0.6305736628666015,1.814423877927115e-06,1,1,0,1,1
