INN,market_level,market,peer_count_roster,n_atc4,n_atc3
CELECOXIBUM,ATC4,M01A H Coxibs,4,1,1
CENTAURIUM VULG. RAF./PULCHELLUM (SWARTZ) DRUCE*&+LEVISTICUM OFFICINALE&+ROSMARINUS OFFICINALIS*&,ATC4,G04B X Other urologicals,12,1,1
CENTAURIUM VULGARE RAF./PULCHELLUM (SWARTZ) DRUCE*&,ATC4,A15 APPETITE STIMULANTS,5,1,1
CERULOPLASMINUM*,ATC4,B05A A Plasma substitutes and plasma protein fractions,10,1,1
CETIRIZINUM,ATC4,R06A E Piperazine derivatives,3,1,1
CETIRIZINUM+CHLORPHENAMINUM+DEXTROMETHORPHANUM+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
CETIRIZINUM+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
CETIRIZINUM+PARACETAMOLUM+PHENYLEPHRINUM,ATC4,N02B E Anilides,32,1,1
CETRARIA ISLANDICA*&,Excluded,multiple_ATC3,0,2,2
CETRORELIXUM,ATC3,H01C HYPOTALAMIC HORMONES,4,1,1
CETUXIMABUM,ATC3,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,14,1,1
CETYLPYRIDINII CHLORIDUM,ATC4,R02A A Antiseptics,46,1,1
CETYLPYRIDINII CHLORIDUM+MURAMIDASE,ATC4,R02A A Antiseptics,46,1,1
CHELIDONIUM MAJUS*&,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
CHLORAMBUCILUM,ATC4,L01A A Nitrogen mustard analogues,5,1,1
CHLORAMPHENICOLUM,Excluded,multiple_ATC3,0,4,4
CHLORAMPHENICOLUM+HYDROCORTISONUM+METRONIDAZOLUM+NYSTATINUM,ATC4,G01B F Imidazole derivatives and corticosteroids,4,1,1
CHLORAMPHENICOLUM+LIDOCAINUM+METRONIDAZOLUM,ATC4,"D06C ANTIBIOTICS AND CHEMOTERAPEUTICS, COMBINATIONS",6,1,1
CHLORAMPHENICOLUM+METHYLURACILUM*,ATC4,D03A X Other cicatrizants,20,1,1
CHLORAMPHENICOLUM+METHYLURACILUM*+SULFADIMETHOXINUM+TRIMECAINUM,ATC4,"D06C ANTIBIOTICS AND CHEMOTERAPEUTICS, COMBINATIONS",6,1,1
CHLORHEXIDINUM,Excluded,multiple_ATC3,0,3,3
CHLORHEXIDINUM+CHLOROCRESOLUM+HEXAMIDINUM,ATC4,D08A C Biguanides and amidines,3,1,1
CHLORHEXIDINUM+DEXPANTHENOLUM,Excluded,multiple_ATC3,0,2,2
CHLORHEXIDINUM+LIDOCAINUM,Excluded,multiple_ATC3,0,2,2
CHLORHEXIDINUM+LIDOCAINUM+TYROTHRICINUM,ATC3,R02A THROAT PREPARATIONS,50,1,1
CHLORHEXIDINUM+METRONIDAZOLUM,ATC4,A01A B Antiinfectives and antiseptics for local oral treatment,6,1,1
CHLORIN E6*,ATC3,L01X OTHER ANTINEOPLASTIC AGENTS,13,1,1
CHLORMADINONUM + ETHINYLESTRADIOLUM,ATC4,"G03A A Progestogens and estrogens, fixed combinations",8,1,1
CHLORNITROPHENOLUM*,ATC4,D01A E Other antifungals for topical use,9,1,1
CHLOROBUTANOLUM+CHOLINI SALICYLAS+HEXETIDINUM,ATC4,R02A A Antiseptics,46,1,1
CHLOROPYRAMINUM,ATC3,R06A ANTIHISTAMINES FOR SYSTEMIC USE,20,1,1
CHLOROQUINUM,ATC3,P01B ANTIMALARIAS,3,1,1
CHLORPHENAMINUM+COFFEINUM*+DEXTROMETHORPHANUM+PARACETAMOLUM+PHENYLEPHRINUM,ATC4,N02B E Anilides,32,1,1
CHLORPHENAMINUM+COFFEINUM*+PARACETAMOLUM+PHENYLEPHRINUM,ATC4,N02B E Anilides,32,1,1
CHLORPHENAMINUM+COFFEINUM*+PARACETAMOLUM+PHENYLPROPANOLAMINUM,Excluded,multiple_ATC3,0,2,2
CHLORPHENAMINUM+DEXTROMETHORPHANUM+PARACETAMOLUM+PHENYLEPHRINUM,ATC4,N02B E Anilides,32,1,1
CHLORPHENAMINUM+PARACETAMOLUM+PHENYLEPHRINUM,ATC4,N02B E Anilides,32,1,1
CHLORPHENAMINUM+PARACETAMOLUM+PSEUDOEPHEDRINUM,ATC4,N02B E Anilides,32,1,1
CHLORPHENAMINUM+PHENYLEPHRINUM,Excluded,R01B NASAL DECONGESTANTS FOR SYSTEMIC USE,2,1,1
CHLORPROMAZINE,ATC3,N05A ANTIPSYCHOTICS,24,1,1
CHLORPROTHIXENE,ATC4,N05A F Thioxanthene derivatives,3,1,1
CHLORQUINALDOLUM,ATC3,"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",33,1,1
CHLORQUINALDOLUM+METRONIDAZOLUM,ATC4,G01A F Imidazole derivatives,13,1,1
CHLORTALIDONUM,ATC4,"C03B A Sulfonamides, plain",3,1,1
CHLORZOXAZONE+DICLOFENACUM+PARACETAMOLUM,ATC4,M01A B Acetic acid derivatives and related substances,11,1,1
CHOLE MEDICATA CONSERVATA*,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CHOLE MEDICATA CONSERVATA*+HEMICELLULASE*+PANCREATINUM*,ATC4,A09A A Enzyme preparations,3,1,1
CHOLINI ALFOSCERAS,ATC3,N07A PARASYMPATHOMIMETICS,4,1,1
CHOLINI SALICYLAS,ATC4,S02D A Analgesics and anesthetics,4,1,1
CHOLINI SALICYLAS+CETALKONII CHLORIDUM,ATC4,A01A D Other agents for local oral treatment,16,1,1
CHONDROITINI SULFAS*,Excluded,multiple_ATC3,0,2,2
CHONDROITINI SULFAS*+DICLOFENACUM+GLUCOSAMINUM,Excluded,M01B ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,2,1,1
CHONDROITINI SULFAS*+GLUCOSAMINUM,ATC4,M09A X Other drugs for disorders of the musculo-skeletal system,5,1,1
CHONDROITINI SULFAS*+GLUCOSAMINUM+IBUPROFENUM,Excluded,M01B ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,2,1,1
CHONDROITINI SULFAS*+LEVOMENTHOLUM,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
CHORIOGONADOTROPINUM ALFA,ATC4,G03G A Gonadotropins,9,1,1
CHYMOTRYPSINUM,Excluded,D03B ENZYMES,2,1,1
CICLOPIROXUM,ATC4,D01A E Other antifungals for topical use,9,1,1
CICLOSPORINUM,Excluded,multiple_ATC3,0,2,2
CILOSTASOLUM,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,11,1,1
CIMICIFUGA RACEMOSA*&,Excluded,multiple_ATC3,0,2,2
CINACALCET,ATC3,H05B ANTI-PARATHYROID AGENTS,3,1,1
CINCHOCAINUM+DEQUALINII CHLORIDUM,ATC4,R02A A Antiseptics,46,1,1
CINEOLUM,ATC4,R05C A Expectorants,40,1,1
CINNARIZINUM,ATC4,N07C A Antivertigo preparations,4,1,1
CINNARIZINUM+DIMENHYDRINATUM,ATC4,N07C A Antivertigo preparations,4,1,1
CINNARIZINUM+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
CIPROFLOXACINUM,Excluded,multiple_ATC3,0,3,3
CIPROFLOXACINUM+DEXAMETHASONUM,Excluded,multiple_ATC3,0,3,3
CIPROFLOXACINUM+ORNIDAZOLUM,ATC4,J01R A Combinations of antibacterials,4,1,1
CIPROFLOXACINUM+TINIDAZOLUM,ATC4,J01R A Combinations of antibacterials,4,1,1
CISPLATINUM,ATC4,L01X A Platinum compounds,3,1,1
CITALOPRAM,ATC4,N06A B Selective serotonin reuptake inhibitors,6,1,1
CITICOLINUM,ATC4,N06B X Other psychostimulants and nootropics,17,1,1
CITRULLINUM*,ATC4,A16A A Amino acids and derivates,4,1,1
CLADRIBINUM,ATC4,L01B B Purine analogues,4,1,1
CLARITHROMYCINUM,ATC4,J01F A Macrolides,6,1,1
CLARITHROMYCINUM+LANSOPRAZOLUM+TINIDAZOLUM,ATC3,A02B DRUGS FOR TREATMENT OF PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE,20,1,1
CLEMASTINUM,ATC4,R06A A Aminoalkyl ethers,3,1,1
CLINDAMYCINUM,Excluded,multiple_ATC3,0,3,3
CLINDAMYCINUM+CLOTRIMAZOLUM,ATC4,G01A A Antibiotics,5,1,1
CLINDAMYCINUM+MICONAZOLUM,ATC4,G01A F Imidazole derivatives,13,1,1
CLIOQUINOLUM+FLUMETASONUM,ATC4,"D07B B Corticosteroids, moderately potent, combinations with antiseptics",3,1,1
CLOBETASOLUM,ATC3,"D07A CORTICOSTEROIDS, PLAIN",12,1,1
CLOMIFENUM,ATC3,G03G GONADOTROPINS AND OTHER OVULATION STIMULANTS,10,1,1
CLOMIPRAMINUM,ATC4,N06A A Non-selective monoamine reuptake inhibitors,5,1,1
CLONAZEPAMUM,ATC3,N03A ANTIEPILEPTICS,12,1,1
CLONIDINUM,ATC4,C02A C Imidazoline receptor agonists,3,1,1
CLOPAMIDUM+DIHYDROERGOCRYSTIN+RESERPINUM,Excluded,C02L ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,2,1,1
CLOPERASTINUM,ATC4,R05D B Other cough suppressants,8,1,1
CLOPIDOGRELUM,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,11,1,1
CLOTRIMAZOLUM,Excluded,multiple_ATC3,0,3,3
CLOTRIMAZOLUM+HEXAMIDINUM+PREDNISOLONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",4,1,1
CLOTRIMAZOLUM+METRONIDAZOLUM+NEOMYCINUM,ATC4,G01A F Imidazole derivatives,13,1,1
CLOZAPINUM,ATC4,"N05A H Diazepines, oxazepines, thiazepines and oxepines",3,1,1
CLYCINE MAX&,ATC4,G02C X Other gynecologicals,8,1,1
CMP DISODIUM SALT*+UMP DISODIUM SALT*,ATC4,N07X X Other nervous system drugs,7,1,1
CO-TRIMOXAZOLUM*,ATC3,J01E SULFONAMIDES AND TRIMETHOPRIM,4,1,1
COBIMETINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
COCARBOXYLASUM,ATC4,"A11D A Vitamin B1, plain",4,1,1
CODEINUM*+CHLORPHENAMINUM,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
CODEINUM*+COFFEINUM*+METAMIZOLUM NATRICUM+PARACETAMOLUM+PHENOBARBITALUM,ATC4,N02B B Pyrazolones,9,1,1
CODEINUM*+COFFEINUM*+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
CODEINUM*+COFFEINUM*+PARACETAMOLUM+PHENOBARBITALUM+PROPYPHENAZONUM,ATC4,N02B B Pyrazolones,9,1,1
CODEINUM*+COFFEINUM*+PARACETAMOLUM+PROPYPHENAZONUM,ATC4,N02B E Anilides,32,1,1
CODEINUM*+IBUPROFENUM,ATC4,M01A E Propionic acid derivatives,9,1,1
CODEINUM*+MORPHINUM*+NOSCAPINUM+PAPAVERINUM*,ATC4,N02A A Natural opium alkaloids,4,1,1
CODEINUM*+MORPHINUM*+NOSCAPINUM+PAPAVERINUM*+TEBAINUM*,ATC4,N02A A Natural opium alkaloids,4,1,1
CODEINUM*+NATRII HYDROCARBONAS*+THERPINI HYDRAS,ATC3,"R05F COUGH SUPRESSANTS AND EXPECTORANTS, COMBINATIONS",7,1,1
CODEINUM*+PARACETAMOLUM,ATC3,N02A OPIOIDS,11,1,1
COFFEINUM*,ATC3,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",21,1,1
COFFEINUM*+IBUPROFENUM+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
COFFEINUM*+INDOMETACINUM+PROCHLORPERAZINUM,ATC3,N02C ANTIMIGRAINE PREPARATIONS,7,1,1
COFFEINUM*+METAMIZOLUM NATRICUM,ATC4,N02B B Pyrazolones,9,1,1
COFFEINUM*+METAMIZOLUM NATRICUM+THIAMINUM,ATC4,N02B B Pyrazolones,9,1,1
COFFEINUM*+NAPROXENUM+SALICYLAMIDUM,ATC4,N02B A Salicylic acid and derivatives,7,1,1
COFFEINUM*+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
COFFEINUM*+PARACETAMOLUM+PROPYPHENAZONUM,ATC4,N02B E Anilides,32,1,1
COLCHICINUM*,ATC3,M04A ANTIGOUT PREPARATIONS,3,1,1
COLECALCIFEROLUM,ATC4,A11C C Vitamin D ans analogues,3,1,1
COLESTYRAMINUM,ATC3,"C10A LIPID MODIFYING AGENTS, PLAIN",9,1,1
COLISTIMETHATUM NATRICUM,ATC4,J01X B Polymyxins,3,1,1
COLISTINUM,ATC4,J01X B Polymyxins,3,1,1
CONVALLARIA MAJALIS/TRANSCAUCASICA UTKIN EX GROSSH./KEISKEI MIG.*&,ATC3,C01A CARDIAC GLYCOSIDES,4,1,1
COPPER GLUCONATE*+FERRI GLUCONAS*+MANGANESE GLUCONATE*,ATC4,B03A E Iron in other combinations,4,1,1
CORIANDRUM SATIVUM*&+HELICHRYSUM ARENARIUM*&+MENTHA PIPERITA+MENYANTHES TRIFOLIATA&,ATC4,A05A X Other drugs for bile therapy,9,1,1
CORIFOLLITROPIN ALFA,ATC4,G03G A Gonadotropins,9,1,1
CORTEXINUM*,ATC4,N07X X Other nervous system drugs,7,1,1
CRATAEGUS L.*&,ATC4,C01E B Other cardiac preparations,16,1,1
CRATAEGUS L.*&+GINKGO BILOBA*&+VISCUM ALBUM*,ATC4,C04A X Other peripheral vasodilators,5,1,1
CRATAEGUS L.*&+HERBA MELISSAE+HUMULUS LUPULUS*&,ATC4,N05C M Other hypnotics and sedatives,26,1,1
CRATAEGUS L.*&+HERBA MELISSAE+LEONURUS CARDIACA/QUINQUELOBATUS GILIB.*&+VALERIANA OFFICINALIS*&,ATC4,N05C M Other hypnotics and sedatives,26,1,1
CRATAEGUS L.*&+LEONURUS CARDIACA/QUINQUELOBATUS GILIB.*&+MENTHA PIPERITA+VALERIANA OFFICINALIS*&,ATC4,C01E X Other cardiac combination products,13,1,1
CRATAEGUS L.*&+PASSIFLORA INCARNATA*&,ATC4,N05C M Other hypnotics and sedatives,26,1,1
CRATAEGUS L.*&+VALERIANA OFFICINALIS*&+LEONURUS CARDIACA/QUINQUELOBATUS GILIB.*&,Excluded,multiple_ATC3,0,2,2
CRATAEGUS L.+LEONURUS CARDIACA/QUINQUELOBATUS GILIB.+TAURINUM,ATC4,C01E X Other cardiac combination products,13,1,1
CRATAEGUS+VALERIANA+QUERCUS+HYPERICUM+MATRICARIA+THYMUS+ACHILLEA*&,ATC4,A02X OTHER DRUGS FOR ACID RELATED DISORDERS,7,1,1
CRIDANIMODUM,ATC4,L03A X Other immunostimulants,11,1,1
CRIZOTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
CUCURBITA PEPO/MAXIMA/MOSCHATA*&,Excluded,multiple_ATC3,0,2,2
CURCUMA LONGA*&+GLYCYRRHIZA GLABRA/URALENSIS*&+TERMINALIA BELERICA*+ZINGIBER OFFICINALE*,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
CYANAMIDUM*,ATC4,N07B B Drugs used in alcohol dependence,5,1,1
CYANOCOBALAMINUM,ATC3,B03B VITAMIN B12 AND FOLIC ACID,3,1,1
CYANOCOBALAMINUM+DICLOFENACUM+PYRIDOXINUM+THIAMINUM,ATC4,M01A B Acetic acid derivatives and related substances,11,1,1
CYANOCOBALAMINUM+LIDOCAINUM+PYRIDOXINUM+THIAMINUM,ATC4,A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,3,1,1
CYANOCOBALAMINUM+NICOTINAMIDUM+PHOSPHOLIPIDES*+PYRIDOXINUM+RIBOFLAVINUM+THIAMINUM+TOCOPHEROLI ACETAS*,ATC4,A05B A Liver therapy,15,1,1
CYANOCOBALAMINUM+OCTOTIAMINUM+PYRIDOXINUM+RIBOFLAVINUM,ATC4,"A11E A Vitamin B-complex, plain",3,1,1
CYANOCOBALAMINUM+PYRIDOXINUM+RIBOFLAVINUM+THIAMINUM,ATC4,"A11E A Vitamin B-complex, plain",3,1,1
CYANOCOBALAMINUM+PYRIDOXINUM+THIAMINUM,ATC4,A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,3,1,1
CYCLAMEN EUROPAEUM/CAUCASIUM*&,ATC4,R01A X Other nasal preparations,7,1,1
CYCLOBENZAPRINUM,ATC4,M03B X Other centrally acting agents,7,1,1
CYCLOPENTOLATUM,ATC4,S01F A Anticholinergics,4,1,1
CYCLOPHOSPHAMIDUM,ATC4,L01A A Nitrogen mustard analogues,5,1,1
CYNARA SCOLYMUS*&,ATC4,A05A X Other drugs for bile therapy,9,1,1
CYPROHEPTADINUM,ATC4,R06A X Other antihistamines for systemic use,12,1,1
CYPROTERONUM,Excluded,G03H ANTIANDROGENS,2,1,1
CYPROTERONUM+ESTRADIOLI VALERAS,ATC4,"G03C A Natural and semisynthetic estrogens, plain",5,1,1
CYPROTERONUM+ETHINYLESTRADIOLUM,Excluded,G03H ANTIANDROGENS,2,1,1
CYTARABINUM,ATC4,L01B C Pyrimidine analogues,7,1,1
CYTISINUM*,ATC4,N07B A Drugs used in nicotine dependence,3,1,1
CYTOCHROMUM C*,ATC4,C01E B Other cardiac preparations,16,1,1
DABIGATRANUM ETEXILATUM,ATC3,B01A ANTITHROMBOTIC AGENTS,30,1,1
DABRAFENIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
DACARBAZINUM,ATC3,L01A ALKYLATING AGENTS,8,1,1
DACLATASVIRUM,ATC4,J05A P Antivirals for treatment of HCV infections,5,1,1
DALARGINUM*,ATC4,A02X OTHER DRUGS FOR ACID RELATED DISORDERS,7,1,1
DALTEPARINUM NATRICUM,ATC4,B01A B Heparin group,7,1,1
DAPAGLIFLOZINUM,ATC3,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",24,1,1
DAPAGLIFLOZINUM+METFORMINUM,ATC4,A10B D Combinations of oral blood glucose lowering drugs,10,1,1
DAPOXETINE,ATC4,G04B X Other urologicals,12,1,1
DAPTOMYCINUM,ATC4,J01X X Other antibacterials,7,1,1
DARATUMUMABUM,ATC3,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,14,1,1
DARBEPOETIN ALFA,ATC4,B03X A Other antianemic preparations,4,1,1
DARUNAVIRUM,ATC3,J05A DIRECT ACTING ANTIVIRALS,34,1,1
DASATINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
DECAMETOXINUM*,Excluded,multiple_ATC3,0,5,5
DECAMETOXINUM*+ZINCI SULFAS*,ATC4,S01A X Other antiinfectives,4,1,1
DEFERASIROXUM,ATC3,V03A ALL OTHER THERAPEUTIC PRODUCTS,13,1,1
DEGARELIX,ATC3,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,11,1,1
DEMOXYTOCINUM,ATC4,H01B B Oxytocin and derivatives,3,1,1
DENOSUMAB,ATC3,M05B DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,9,1,1
DENOTIVIRUM,ATC4,D06B B Antivirals,6,1,1
DEQUALINII CHLORIDUM,ATC3,"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",33,1,1
DEQUALINII CHLORIDUM+ENOXOLONUM+HYDROCORTISONUM+LIDOCAINUM+TYROTHRICINUM,ATC4,R02A A Antiseptics,46,1,1
DEQUALINII CHLORIDUM+MURAMIDASE,ATC4,R02A A Antiseptics,46,1,1
DESLORATADINUM,ATC4,R06A X Other antihistamines for systemic use,12,1,1
DESMOPRESSINUM,ATC3,H01B POSTERIOR PITUITARY LOBE HORMONES,5,1,1
DESOGESTRELUM,ATC3,G03A HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,13,1,1
DESOGESTRELUM+ETHINYLESTRADIOLUM,ATC4,"G03A A Progestogens and estrogens, fixed combinations",8,1,1
DESVENLAFAXINUM,ATC4,N06A X Other antidepressants,10,1,1
DEXAMETHASONUM,Excluded,multiple_ATC3,0,2,2
DEXAMETHASONUM+FRAMYCETINUM+GRAMICIDINUM,Excluded,S03C CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,2,1,1
DEXAMETHASONUM+GENTAMICINUM,ATC4,S01C A Corticosteroids and antiinfectives in combination,4,1,1
DEXAMETHASONUM+NEOMYCINUM+PHENYLEPHRINUM+POLYMYXINUM B,ATC4,R01A D Corticosteroids,9,1,1
DEXAMETHASONUM+NEOMYCINUM+POLYMYXINUM B,Excluded,multiple_ATC3,0,2,2
DEXAMETHASONUM+TOBRAMYCINUM,ATC4,S01C A Corticosteroids and antiinfectives in combination,4,1,1
DEXIBUPROFENUM,ATC4,M01A E Propionic acid derivatives,9,1,1
DEXKETOPROFENUM,Excluded,multiple_ATC3,0,2,2
DEXLANSOPRAZOLUM,ATC4,A02B C Proton pump inhibitors,7,1,1
DEXMEDETOMIDINE,ATC4,N05C M Other hypnotics and sedatives,26,1,1
DEXPANTHENOLUM,Excluded,multiple_ATC3,0,3,3
DEXPANTHENOLUM+DIMETHYLIS SULFOXIDUM+HEPARINUM NATRICUM,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
DEXPANTHENOLUM+HEPARINUM NATRICUM+TROXERUTINUM,ATC4,C05B A Heparins or heparinoids for topical use,5,1,1
DEXPANTHENOLUM+HYALURONIC ACID*,ATC4,S01X A Other ophthalmologicals,16,1,1
DEXPANTHENOLUM+LIDOCAINUM+PREDNISOLONUM,ATC4,C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,13,1,1
DEXPANTHENOLUM+MYRAMISTINUM*,ATC4,D03A X Other cicatrizants,20,1,1
DEXPANTHENOLUM+NICOTINAMIDUM+PYRIDOXINUM+RIBOFLAVINUM+THIAMINUM,ATC4,"A11E A Vitamin B-complex, plain",3,1,1
DEXPANTHENOLUM+TROXERUTINUM,ATC4,C05C A Bioflavonoids,10,1,1
DEXPANTHENOLUM+XYLOMETAZOLINUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",10,1,1
DEXTRANUM+NATRII CHLORIDUM*,ATC4,B05A A Plasma substitutes and plasma protein fractions,10,1,1
DEXTROMETHORPHANUM+DOXYLAMINUM+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
DEXTROMETHORPHANUM+LEVOCETIRIZINUM,ATC4,R06A E Piperazine derivatives,3,1,1
DEXTROSUM*,Excluded,multiple_ATC3,0,3,3
DEXTROSUM*+GLYCINUM+SODIUM FORMATE*,ATC4,N07B B Drugs used in alcohol dependence,5,1,1
DEXTROSUM*+KALII CHLORIDUM*,ATC4,B05B B Solutions affecting the electrolyte balance,14,1,1
DEXTROSUM*+KALII CHLORIDUM*+NATRII CHLORIDUM*+SODIUM CITRAS*,Excluded,A07C ELECTROLYTES WITH CARBOHYDRATES,1,1,1
DIACEREINUM,ATC4,"M01A X Other antiinflammatory and antirheumatic agents, non-steroids",7,1,1
DIAZEPAMUM,ATC4,N05B A Benzodiazepine derivatives,3,1,1
DICLOFENACUM,Excluded,multiple_ATC3,0,4,4
DICLOFENACUM+LEVOMENTHOLUM,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",18,1,1
DICLOFENACUM+LEVOMENTHOLUM+METHYL SALICYLAT*,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",18,1,1
DICLOFENACUM+LIDOCAINUM,ATC4,M01A B Acetic acid derivatives and related substances,11,1,1
DICLOFENACUM+LINUM USITATISSIMUM*&+MENTHOLUM*+METHYL SALICYLAT*,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",18,1,1
DICLOFENACUM+NICOTINIC ACID,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",18,1,1
DICLOFENACUM+PARACETAMOLUM,ATC4,M01A B Acetic acid derivatives and related substances,11,1,1
DICLOFENACUM+PARACETAMOLUM+SERRAPEPTASUM,ATC4,M01A B Acetic acid derivatives and related substances,11,1,1
DICYCLOVERINUM+NIMESULIDUM,ATC4,"M01A X Other antiinflammatory and antirheumatic agents, non-steroids",7,1,1
DICYCLOVERINUM+PARACETAMOLUM,Excluded,multiple_ATC3,0,2,2
DICYCLOVERINUM+SIMETICONUM,ATC4,A03E D Antispasmodics in combination with other drugs,5,1,1
DIENOGESTUM,ATC3,G03D PROGESTOGENS,6,1,1
DIENOGESTUM+ESTRADIOLI VALERAS,Excluded,multiple_ATC3,0,2,2
DIENOGESTUM+ETHINYLESTRADIOLUM,ATC4,"G03A A Progestogens and estrogens, fixed combinations",8,1,1
DIGOXINUM,ATC3,C01A CARDIAC GLYCOSIDES,4,1,1
DIHYDRALAZINUM+HYDROCHLOROTHIAZIDUM+RESERPINUM,Excluded,C02L ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,2,1,1
DILTIAZEMUM,Excluded,C08D SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,2,1,1
DIMENHYDRINATUM,ATC4,N07C A Antivertigo preparations,4,1,1
DIMETHYLII FUMARATUM,ATC4,L04A X Other immunosuppressants,5,1,1
DIMETHYLIS SULFOXIDUM,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
DIMETHYLIS SULFOXIDUM+INDOMETACINUM+MENTHA PIPERITA,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",18,1,1
DIMETICONUM,Excluded,multiple_ATC3,0,2,2
DIMETICONUM+GUAIAZULENUM,Excluded,multiple_ATC3,0,2,2
DIMETINDENUM,Excluded,multiple_ATC3,0,2,2
DIMETINDENUM+PHENYLEPHRINUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",10,1,1
DINOPROSTONUM,ATC3,G02A UTEROTONICS,3,1,1
DIOSMECTITUM*,ATC4,A07B C Others intestinal adsorbents,4,1,1
DIOSMINUM,ATC4,C05C A Bioflavonoids,10,1,1
DIOSMINUM+HESPERIDINUM,ATC4,C05C A Bioflavonoids,10,1,1
DIOXYDINUM*,ATC4,J01X X Other antibacterials,7,1,1
DIOXYDINUM*+LIDOCAINUM,ATC4,D03A X Other cicatrizants,20,1,1
DIPHENHYDRAMINUM,Excluded,multiple_ATC3,0,2,2
DIPHENHYDRAMINUM+METAMIZOLUM NATRICUM,ATC4,N02B B Pyrazolones,9,1,1
DIPHENHYDRAMINUM+PARACETAMOLUM,ATC4,N02B E Anilides,32,1,1
DIPYRIDAMOLUM,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,11,1,1
DISODIUM FOSFAS*+SODIUM DIHYDROPHOSPHAS,ATC4,A06A G Enemas,4,1,1
DISULFIRAMUM,ATC4,N07B B Drugs used in alcohol dependence,5,1,1
DOBUTAMINUM,ATC4,C01C A Adrenergic and dopaminergic agents,5,1,1
DOCETAXELUM,ATC4,L01C D Taxanes,3,1,1
DOCOSANOLUM*,ATC4,D06B B Antivirals,6,1,1
DOCUSATUM NATRICUM,ATC3,A06A DRUG FOR CONSTIPATION,24,2,1
DOLUTEGRAVIR50 MG TABLETS+LAMIVUDINUM+TENOFOVIRUM,ATC4,"J05A R Antivirals for treatment of HIVinfections, combinations",4,1,1
DOMPERIDONUM,ATC4,A03F A Propulsives,4,1,1
DOMPERIDONUM+OMEPRAZOLUM,ATC4,A02B C Proton pump inhibitors,7,1,1
DONEPEZILUM,ATC4,N06D A Cholinesterase inhibitors,4,1,1
DOPAMINUM,ATC4,C01C A Adrenergic and dopaminergic agents,5,1,1
DORNASUM ALFA,ATC4,R05C B Mucolytics,11,1,1
DORZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,4,1,1
