INN,market_level,market,peer_count_roster,n_atc4,n_atc3
ADENOSINI PHOSPHAS,ATC4,C01E B Other cardiac preparations,16,1,1
ADENOSINI PHOSPHAS+CYTOCHROMUM C*+NICOTINAMIDUM,ATC4,S01X A Other ophthalmologicals,16,1,1
ADONIS VERNALIS*&+ARNICA MONTANA/FOLIOSA NUTT./CHAMISSONIS LESS.*&+JUNIPERUS COMMUNIS*&+MENTHA PIPERITA,ATC4,C01E X Other cardiac combination products,13,1,1
AERVA LANNATA*&,ATC4,C03B X Other low-ceiling diuretics,5,1,1
AESCINUM*,ATC4,C05C X Other capillary stabilizing agents,7,1,1
AESCINUM*+DIETHYLAMIN,ATC4,M02A C Preparations with salicylic acid derivatives,5,1,1
AESCINUM*+HEPARIN SODIUM,ATC4,C05B A Heparins or heparinoids for topical use,5,1,1
AESCULUS HIPPOCASTANUM L.*&,ATC4,C05C X Other capillary stabilizing agents,7,1,1
AESCULUS HIPPOCASTANUM L.*&+DICLOFENACUM,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",18,1,1
AESCULUS HIPPOCASTANUM L.+THIAMINUM,ATC4,C05C X Other capillary stabilizing agents,7,1,1
AETHACIZINUM*,ATC4,"C01B C Antiarrhythmics, class 1c",3,1,1
AETHONIUM*,ATC4,D08A J Quaternary ammonium compounds,4,1,1
AFATINIBUM,ATC4,L01E B Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,4,1,1
AFLIBERCEPT,Excluded,S01L Ocular vascular disorder agents,2,1,1
AGNUS CASTUS*&,Excluded,multiple_ATC3,0,2,2
AGOMELATINUM,ATC4,N06A X Other antidepressants,10,1,1
ALANINUM,ATC4,G02C X Other gynecologicals,8,1,1
ALBENDAZOLUM,ATC3,P02C ANTINEMATODAL AGENTS,6,1,1
ALBUMINUM HUMANUM*,ATC4,B05A A Plasma substitutes and plasma protein fractions,10,1,1
ALCLOMETASONUM,ATC4,"D07A B Corticosteroids, moderately potent (group II)",3,1,1
ALECTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+GUAIFENESINUM,ATC4,N05C M Other hypnotics and sedatives,26,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+MENTHOL SOLITION IN ISOVALERAT,ATC3,N05C HYPNOTICS AND SEDATIVES,37,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+MENTHOL SOLITION IN ISOVALERAT,ATC4,N05C M Other hypnotics and sedatives,26,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",4,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",4,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+VALERIANA OFFICINALIS*&,ATC3,N05C HYPNOTICS AND SEDATIVES,37,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHOL SOLITION IN ISOVALERAT+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",4,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+PASSIFLORA INCARNATA*,ATC4,N05C M Other hypnotics and sedatives,26,1,1
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",4,1,1
ALFACALCIDOLUM,ATC4,A11C C Vitamin D ans analogues,3,1,1
ALFUZOSINUM,ATC4,G04C A Alpha-adrenoreceptor antagonists,6,1,1
ALLANTOINUM*+ALLIUM CEPA&+HEPARIN SODIUM,ATC4,D11A X Other dermatologicals,9,1,1
ALLANTOINUM*+DEXPANTHENOLUM,ATC4,D03A X Other cicatrizants,20,1,1
ALLANTOINUM*+GLUCOSAMINUM+IBUPROFENUM,ATC4,M09A X Other drugs for disorders of the musculo-skeletal system,5,1,1
ALLANTOINUM*+POVIDONUM,ATC4,R02A A Antiseptics,46,1,1
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,ATC4,A05A X Other drugs for bile therapy,9,1,1
ALLOFERONUM*,ATC4,L03A X Other immunostimulants,11,1,1
ALLOPURINOLUM,ATC3,M04A ANTIGOUT PREPARATIONS,3,1,1
ALNUS INCANA/GLUTINOSA*&,Excluded,multiple_ATC3,0,3,3
ALOE ARBORESCENS MILL.*&,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ALOE ARBORESCENS MILL.*&+CALENDULA OFFICINALIS*&+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM+MATRICARIA CHAMOMILLA*&,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
ALPROSTADILUM,ATC3,C01E OTHER CARDIAC PREPARATIONS,30,1,1
ALTEPLASUM,ATC4,B01A D Enzymes,4,1,1
ALTHAEA OFFICINALIS*&,ATC4,R05C A Expectorants,40,1,1
ALTHAEA OFFICINALIS*&+AMMONIUM CHLORIDE+ANISUM VULG.*&+GLYCYRRHIZA GLABRA/URALENSIS*&+NATRII HYDROCARBONAS*,ATC4,R05C A Expectorants,40,1,1
ALTHAEA OFFICINALIS*&+ASCORBIC ACID,ATC4,R05C A Expectorants,40,1,1
ALTHAEA OFFICINALIS*&+GLYCYRRHIZA GLABRA/URALENSIS*&,ATC4,R05C A Expectorants,40,1,1
