ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
G04B D20** Other preparations,12527.23841526225,10781.999260698762,10228.595596620085,4159.927965386632,2491.412460756142,1439.4414779464391,1750.2181125933685,1749.767241205609,4678.253964990092,9556.75907842639,10443.040727379015,10707.512506113208
G04B E03 Sildenafilum,215406.47154635275,190874.03028673335,175449.02604186087,163108.81460878588,178329.27142514894,185249.38964106241,204473.6765766161,215458.65008788212,211725.79885971794,220073.7162400096,213275.19410706594,233161.817563534
G04B E04 Yohimbin,1422.9419528723097,1436.9285158227476,1349.8899242825698,1217.8880091499002,1263.4618351432364,1400.0798540373773,1462.9488272521621,1554.7673639234617,1481.3839513599742,1409.8473794086558,1377.347479947073,1340.610118477279
G04B E08 Tadalafil,7120.33244873611,7038.679184620807,6425.930057018476,6253.696238626526,6588.695067602881,6789.025614473878,7461.20633566059,7642.757596299873,7302.333288501214,7442.505325952198,7178.810439602901,7779.8664142133775
G04B E09 Vardenafil,1.1493773102211384,0.6390124372373839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G04B E10 Avanafil,2332.5711581499068,2159.8855934748935,2374.2699424573057,2323.595022365659,2366.8338870147636,2407.3005794564706,2610.80113413226,2454.998778595313,2524.539294888179,2630.3805086448947,2064.9478803726897,2279.628178477349
G04B E11 Udenafil,668.8269001765112,527.1746158525891,374.0374303495505,304.4515239032182,329.8770407022515,338.41009609757697,457.0579823699362,594.8033333439225,478.7110560792106,625.7798762235402,611.3183742951021,717.307414708451
G04B E19** Others,1484.801150013013,1289.273514063816,1011.2773537345786,929.2667739013077,886.6226584648109,911.0873145457324,978.6033878405894,998.0629949065944,1031.2214289895178,1109.8741246859763,1125.2458296732623,1241.5091420932104
G04B E30 Combinations,0.0,7.142428996938953,4.476311830270925,0.9182601641774037,3.4626608985434872,0.0,0.0,0.0,0.0,0.0,0.07019340547414199,0.23770196226717888
G04B X14 Dapoxetine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"G04B X50** Other preparations, incl. combinations",363869.8437209642,347121.2262361839,340971.5765353992,263260.9537043336,250431.93006963815,246018.28830045313,261029.73938440252,267802.5179766628,281802.63326645043,316787.6697386148,341979.1073643568,360744.54587060935
G04C A01 Alfuzosin,265.06266261040554,279.2713781183594,257.6346905080512,232.45888040313338,236.4141723025278,216.49274580537204,246.5715445909761,259.42292360278805,255.23596679556636,303.38314133311763,370.27882094648743,405.358104620512
G04C A02 Tamsulosin,132679.85839867062,131218.83938562387,137679.89659013506,111623.37156869266,110340.87316648732,105964.56045967163,111561.65710916767,116894.61444371312,122907.56752629804,130460.37720731462,132061.57376707645,136880.11822983454
