INN,month,point_forecast,P10_empirical,P90_empirical
ACENOCOUMAROLUM,2024-08-01,0.0,0.0,0.873037961401081
ACENOCOUMAROLUM,2024-09-01,0.0,0.0,0.8528861112236882
ACENOCOUMAROLUM,2024-10-01,0.0,0.0,0.8970014202413311
ACENOCOUMAROLUM,2024-11-01,0.0,0.0,0.8869581062821691
ACENOCOUMAROLUM,2024-12-01,26.51631708641918,25.324738507588762,27.507602920949598
ACETAZOLAMIDUM,2024-01-01,6897.526330325737,5242.662227513467,8166.365448720013
ACETAZOLAMIDUM,2024-02-01,6976.490239204602,5319.322416907559,9218.151148208934
ACETAZOLAMIDUM,2024-03-01,7186.800576032618,3265.6650201467774,9723.365243479053
ACETAZOLAMIDUM,2024-04-01,5610.54565521995,2447.6908562558833,8987.522159167846
ACETAZOLAMIDUM,2024-05-01,5897.304928294744,2788.5280260843474,8744.39451856933
ACETAZOLAMIDUM,2024-06-01,5831.409156479499,2554.9601984808583,8605.305321657093
ACETAZOLAMIDUM,2024-07-01,6016.30294875223,3058.018179352483,8760.330162005432
ACETAZOLAMIDUM,2024-08-01,6186.002792295338,3154.59686918096,9127.556189199027
ACETAZOLAMIDUM,2024-09-01,6203.481876854747,621.477834246687,9013.571660145568
ACETAZOLAMIDUM,2024-10-01,6572.3611542271965,1309.6815300108856,9069.429465775405
ACETAZOLAMIDUM,2024-11-01,6704.870185850082,2019.7372498179702,8478.823751732236
ACETAZOLAMIDUM,2024-12-01,7024.033420873311,2782.7412158265843,8549.899740532821
ACETYLAMINONITROPROPOXYBENZENUM*,2024-01-01,7.954644195022636,6.834205510773333,8.358427549843471
ACETYLAMINONITROPROPOXYBENZENUM*,2024-02-01,0.0,0.0,0.5201397881815064
ACETYLAMINONITROPROPOXYBENZENUM*,2024-03-01,10.549539260066386,9.257731521809113,11.190441961760953
ACETYLAMINONITROPROPOXYBENZENUM*,2024-04-01,0.0,0.0,0.81391653595685
ACETYLAMINONITROPROPOXYBENZENUM*,2024-05-01,12.958631110172234,11.78373438613637,13.688781815544523
ACETYLAMINONITROPROPOXYBENZENUM*,2024-06-01,0.01859584333872988,0.0,0.8745508040084112
ACETYLAMINONITROPROPOXYBENZENUM*,2024-07-01,6.297750558796615,4.909694834025325,7.156637582417561
ACETYLAMINONITROPROPOXYBENZENUM*,2024-08-01,11.812735757431309,10.594501631193886,12.68577371883239
ACETYLAMINONITROPROPOXYBENZENUM*,2024-09-01,26.368159915083982,24.826299454220198,27.221046026307672
ACETYLAMINONITROPROPOXYBENZENUM*,2024-10-01,38.65660108380373,37.19805402847285,39.55360250404506
ACETYLAMINONITROPROPOXYBENZENUM*,2024-11-01,0.0,0.0,0.8869581062821691
ACETYLAMINONITROPROPOXYBENZENUM*,2024-12-01,0.0,0.0,0.9912858345304205
ACETYLCYSTEINUM,2024-01-01,252341.91799508463,222845.60642445437,276790.58203594974
ACETYLCYSTEINUM,2024-02-01,214769.83571010595,187539.1524072227,275663.2746366423
ACETYLCYSTEINUM,2024-03-01,198531.71296653542,117763.05737536716,237668.41521776572
ACETYLCYSTEINUM,2024-04-01,103062.66785609131,46511.98926823364,162722.94340638304
ACETYLCYSTEINUM,2024-05-01,61420.75885214831,9409.616729286608,108815.48590362724
ACETYLCYSTEINUM,2024-06-01,34015.0731334063,0.0,79049.23421676649
ACETYLCYSTEINUM,2024-07-01,24730.930042825,0.0,74505.0434550955
ACETYLCYSTEINUM,2024-08-01,46647.210654772294,0.0,108817.54442898219
ACETYLCYSTEINUM,2024-09-01,142991.36942874247,42697.49551897342,185833.6220442449
ACETYLCYSTEINUM,2024-10-01,249410.26033233097,146622.13351894508,290302.7577431416
ACETYLCYSTEINUM,2024-11-01,222644.01973961404,137712.46789627435,241292.75024513813
ACETYLCYSTEINUM,2024-12-01,236771.99794985293,160488.58168883203,250572.69837294522
ACETYLCYSTEINUM+AMBROXOLUM,2024-01-01,179518.97864710298,158926.51616354258,196587.49230953614
ACETYLCYSTEINUM+AMBROXOLUM,2024-02-01,153567.37914022885,134556.63527235217,196079.33368027525
ACETYLCYSTEINUM+AMBROXOLUM,2024-03-01,123835.5781171691,67448.00212733471,151158.35272608657
ACETYLCYSTEINUM+AMBROXOLUM,2024-04-01,75727.35588116093,36247.24242860764,117378.39360790978
ACETYLCYSTEINUM+AMBROXOLUM,2024-05-01,42388.06147479389,6077.165777631519,75476.06762733101
ACETYLCYSTEINUM+AMBROXOLUM,2024-06-01,23797.648132139846,0.0,55237.656160502826
ACETYLCYSTEINUM+AMBROXOLUM,2024-07-01,15550.543240456187,0.0,50299.68672710268
ACETYLCYSTEINUM+AMBROXOLUM,2024-08-01,30080.827109548816,0.0,73484.2290152499
ACETYLCYSTEINUM+AMBROXOLUM,2024-09-01,94142.6011872625,24123.750495629094,124052.35710991127
ACETYLCYSTEINUM+AMBROXOLUM,2024-10-01,175298.904231873,103538.72363804991,203847.46416875924
ACETYLCYSTEINUM+AMBROXOLUM,2024-11-01,157461.67845000097,98167.83112212067,170481.04469792903
ACETYLCYSTEINUM+AMBROXOLUM,2024-12-01,151753.9768069429,98497.7117410077,161388.7545325876
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-01-01,6664.821240079484,5827.910395846249,7306.508503684337
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-02-01,6722.284873848213,5884.208974541512,7855.955197986168
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-03-01,6726.646561857916,4743.619156252487,8009.457926052219
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-04-01,4623.108693260401,3023.564975144935,6330.939718220062
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-05-01,4073.9623793771084,2501.767359048705,5513.814841313471
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-06-01,3342.3025092651965,1685.311062737451,4745.139018600891
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-07-01,3448.820594170387,1952.7336347437727,4836.55154303805
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-08-01,4388.00744308926,2854.9410807119,5875.632881683403
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-09-01,7820.084903219077,4997.11006928953,9241.225532778011
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-10-01,9433.735252317656,6772.251665993497,10696.572209850561
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-11-01,7980.602312591237,5611.200163994161,8877.74001346347
ACETYLCYSTEINUM+TUAMINOHEPTANUM,2024-12-01,8512.769941804823,6367.830406326748,9284.44301610932
ACHILLEA MILLEFOLIUM*&,2024-01-01,8879.756487220322,7121.1900951340685,10228.107585525371
ACHILLEA MILLEFOLIUM*&,2024-02-01,8652.473619088069,6891.45914461497,11034.60852087809
